,cmt1,cmt2,cmt3,cmt4,cmt5,cmt6,cmt7,cmt8,cmt9,cmt10,cmt11,cmt12,cmt13,cmt14,cmt15,cmt16,cmt17,cmt18,cmt19,cmt20,cmt21
TCGA-FS-A1ZU-06A,-5.66,5.99,0.14,2.63,0.9,-4.99,0.65,9.81,-5.97,-0.41,-10.33,-2.04,1.29,-2.16,1.5,11.85,-0.32,0,1.63,0,-7.2
TCGA-EE-A29L-06A,0.08,1.74,0.1,1.13,-3.18,-5.29,0.97,-1.55,-0.9,-0.26,2.9,-0.68,1.07,0.89,0.06,10.37,-0.2,0,0.11,0,18.4
TCGA-D3-A3CF-06A,-3.62,4.17,0.21,1.28,-1.06,-2.87,0.3,5.74,-3.5,-0.25,1.24,-0.37,1.74,-1.91,-1.09,13.54,-0.2,0,0.18,0,6.67
TCGA-EE-A3AC-06A,0.44,0.5,0.12,-0.17,-3.35,-1.84,0.33,4.13,-0.41,-0.2,6.87,-2.1,2.35,1.33,-0.51,13.1,-0.08,0.01,-0.57,0,17.05
TCGA-XV-AAZV-01A,-9.76,11.72,0.29,3.57,5.08,-2.02,0,14.08,-10.28,-0.47,-14.86,0.02,2.42,-9.62,5.13,17.38,-0.45,0,1.64,0,16.15
TCGA-ER-A19B-06A,-3.43,3.67,0.16,-0.49,-3.58,-1.01,-0.13,-2.44,-4.24,-0.21,3.04,0.09,6.61,-3.67,-3.38,14.57,-0.18,0,1.57,0,5.61
TCGA-GN-A26C-01A,-5.84,7.05,0.24,2.05,3.24,1,-0.28,8.98,-6.33,-0.32,-7.79,-1.15,2.69,-5.46,-0.81,15.87,-0.35,0,1.5,0,-9.84
TCGA-D3-A2JG-06A,-6.24,8.88,0.26,3.15,2.05,-4.28,0.69,1,-6.94,-0.4,-12.12,-0.97,0.43,-6.3,1.34,13.28,-0.35,0,1.64,0,19.18
TCGA-EB-A44N-01A,-4.37,5.56,0.18,0.91,-0.57,-1.21,0.19,8.05,-4.4,-0.28,0.12,0.05,3.82,-1.8,-1,13.91,-0.24,0,0.32,0,13.14
TCGA-GN-A4U7-06A,-12,13.03,0.28,7.62,6.63,-7.44,0.78,9.09,-10.99,-0.65,-14.82,-0.31,-8.46,-13.36,7.54,15.14,-0.46,-0.01,1.64,0,19.21
TCGA-EE-A2GD-06A,-1.26,0.34,0.24,0.18,-3.37,2.56,0.15,1.76,1.56,-0.06,6.59,-2.45,5.58,4.97,-4.16,14.14,-0.2,0.01,0.08,0,-2.24
TCGA-DA-A1IA-06A,-13.75,13.29,0.38,18.25,13.18,-9.52,0.91,20.77,-13.09,-0.72,-14.99,-2.59,-8.34,-15.87,8.19,19.49,-0.57,-0.01,1.64,0.01,19.9
TCGA-GN-A26D-06A,-0.39,4.38,0.19,2.22,-3.23,-2.88,0.43,6.72,-0.76,-0.22,0.02,-0.55,2.53,2.6,0.36,13.01,-0.22,0.01,0.53,0,-4.15
TCGA-EE-A20F-06A,-2.57,5.79,0.15,1.7,-1.3,-4.39,0.31,-1.96,-3.94,-0.3,-0.41,-0.22,2.48,-1.78,-1.15,13.26,-0.24,0,1.25,0,3.74
TCGA-EE-A29D-06A,-1.94,2.5,0.12,0.83,-2.82,-3.47,0.61,0.2,0.1,-0.15,4.85,-1.92,2.29,2.05,-0.48,12.73,-0.1,0.01,0.31,0,16.51
TCGA-DA-A95W-06A,-5.9,8.5,0.18,3.36,-0.05,-5.58,0.85,3.05,-7.66,-0.45,-7.68,-3.02,0.26,-6.75,3.59,13.86,-0.32,0,1.63,0,19.56
