,source_name,target_name
1,MIR193B,AAAS
2,MIR92A2,AAED1
3,MIR149,AAED1
4,MIR92A2,AAGAB
5,MIR148A,AAK1
6,NUMB,AAK1
7,MIR29A,AAK1
8,MIR149,AAR2
9,MIR148A,AASDHPPT
10,MIRLET7B,AASDHPPT
11,MIR34A,AASDHPPT
12,MIR149,AATF
13,MIRLET7B,ABCB10
14,MIR31,ABCB9
15,E2F1,ABCC10
16,MIR21,ABCD3
17,MIR29A,ABCE1
18,MIR29B2,ABCE1
19,MIR203A,ABCE1
20,MIRLET7B,ABCF1
21,MIRLET7B,ABHD17C
22,MIR101-2,ABHD17C
23,MIR92A2,ABHD2
24,MIR29A,ABL1
25,MIRLET7B,ABL1
26,MIR203A,ABL1
27,MIR149,ABL1
28,MIR92A2,ABL2
29,MIR214,ABLIM3
30,MIR200B,ABT1
31,MIRLET7B,ABT1
32,MIR193B,ABT1
33,MIR92A2,ACAA1
34,MIR9-3,ACAA2
35,MIR149,ACAA2
36,MIR92A2,ACACA
37,MIR92A2,ACADS
38,MIR31,ACADVL
39,MIR149,ACAP2
40,MIR9-3,ACAT1
41,SP1,ACLY
42,MIR149,ACLY
43,MIR92A2,ACLY
44,MIR214,ACOT2
45,PPARA,ACOX1
46,MIR205,ACP1
47,MIR34A,ACSL1
48,MIRLET7B,ACSL1
49,MIR205,ACSL1
50,MIR205,ACSL4
51,TP53,ACTA2
52,EGR1,ACTA2
53,SMAD2,ACTA2
54,SMAD3,ACTA2
55,YBX1,ACTA2
56,NFYB,ACTB
57,SRF,ACTB
58,MIR149,ACTG1
59,MIR206,ACTL6A
60,MIR25,ACTL6A
61,MIR146A,ACTN4
62,MIR148A,ACTR1A
63,MIR92A2,ACTR1A
64,MIR193B,ACTR1A
65,MIRLET7B,ACVR1
66,SP1,ACVR1
67,MIR148A,ACVR1
68,CTNNB1,ADAM10
69,MIR149,ADAM17
70,MIR149,ADAR
71,VEGFA,ADAR
72,HIF1A,ADAR
73,MIRLET7B,ADCY1
74,GNAS,ADCY5
75,HRAS,ADCY5
