,source_name,target_name,source_cmt,target_cmt
1,MIR193B,AAAS,3,3
2,MIR92A2,AAED1,10,10
3,MIR149,AAED1,21,10
4,MIR92A2,AAGAB,10,10
5,MIR148A,AAK1,16,4
6,NUMB,AAK1,4,4
7,MIR29A,AAK1,13,4
8,MIR149,AAR2,21,21
9,MIR148A,AASDHPPT,16,16
10,MIRLET7B,AASDHPPT,20,16
11,MIR34A,AASDHPPT,8,16
12,MIR149,AATF,21,21
13,MIRLET7B,ABCB10,20,20
14,MIR31,ABCB9,4,4
15,E2F1,ABCC10,7,7
16,MIR21,ABCD3,11,11
17,MIR29A,ABCE1,13,13
18,MIR29B2,ABCE1,13,13
19,MIR203A,ABCE1,18,13
20,MIRLET7B,ABCF1,20,20
21,MIRLET7B,ABHD17C,20,19
22,MIR101-2,ABHD17C,19,19
23,MIR92A2,ABHD2,10,10
24,MIR29A,ABL1,13,18
25,MIRLET7B,ABL1,20,18
26,MIR203A,ABL1,18,18
27,MIR149,ABL1,21,18
28,MIR92A2,ABL2,10,10
29,MIR214,ABLIM3,6,6
30,MIR200B,ABT1,19,19
31,MIRLET7B,ABT1,20,19
32,MIR193B,ABT1,3,19
33,MIR92A2,ACAA1,10,10
34,MIR9-3,ACAA2,9,9
35,MIR149,ACAA2,21,9
36,MIR92A2,ACACA,10,17
37,MIR92A2,ACADS,10,10
38,MIR31,ACADVL,4,4
39,MIR149,ACAP2,21,21
40,MIR9-3,ACAT1,9,9
41,SP1,ACLY,7,7
42,MIR149,ACLY,21,7
43,MIR92A2,ACLY,10,7
44,MIR214,ACOT2,6,6
45,PPARA,ACOX1,7,1
46,MIR205,ACP1,14,14
47,MIR34A,ACSL1,8,14
48,MIRLET7B,ACSL1,20,14
49,MIR205,ACSL1,14,14
50,MIR205,ACSL4,14,14
51,TP53,ACTA2,7,7
52,EGR1,ACTA2,7,7
53,SMAD2,ACTA2,7,7
54,SMAD3,ACTA2,7,7
55,YBX1,ACTA2,7,7
56,NFYB,ACTB,7,7
57,SRF,ACTB,7,7
58,MIR149,ACTG1,21,17
59,MIR206,ACTL6A,15,15
60,MIR25,ACTL6A,10,15
61,MIR146A,ACTN4,19,5
62,MIR148A,ACTR1A,16,16
63,MIR92A2,ACTR1A,10,16
