"","name"
"1","HIST1H1C"
"2","KLHL36"
"3","NAP1L4"
"4","CENPO"
"5","HOXA4"
"6","CDK2"
"7","NT5DC3"
"8","KLHDC3"
"9","UQCRQ"
"10","SLC10A3"
"11","PEX11B"
"12","MBD1"
"13","WLS"
"14","POLR2A"
"15","SLC7A5"
"16","HLA-C"
"17","C2orf44"
"18","CAPNS1"
"19","ZBTB8OS"
"20","RPL10"
"21","ESRRA"
"22","NUBPL"
"23","PRRC2B"
"24","DDR2"
"25","S100PBP"
"26","UBE2N"
"27","DUSP7"
"28","AKIP1"
"29","PLEKHO1"
"30","EEF2"
"31","NECAB3"
"32","SRFBP1"
"33","DLX1"
"34","CASK"
"35","LARP1"
"36","BAZ2B"
"37","RPS6KA3"
"38","ARL2"
"39","NFE2L1"
"40","PAN2"
"41","UHRF1"
"42","HAX1"
"43","TES"
"44","COX10"
"45","GCDH"
"46","FADD"
"47","PKN2"
"48","RNF24"
"49","CAPRIN2"
"50","PAPSS1"
"51","TUG1"
"52","S100A6"
"53","YEATS2"
"54","CUTA"
"55","POLR2I"
"56","NAB1"
"57","SIN3A"
"58","SLC29A1"
"59","DIP2A"
"60","BUB1B"
"61","SYNE2"
"62","ABI2"
"63","CRLF3"
"64","BCL2L13"
"65","AKR1A1"
"66","PMAIP1"
"67","SPATA13"
"68","ATAD3B"
"69","GCLC"
"70","HNRNPLL"
"71","PBRM1"
"72","TPX2"
"73","FMN1"
"74","ETNK2"
"75","TGFB1"
"76","ARHGEF25"
"77","PHLPP1"
"78","GEMIN4"
"79","CNOT1"
"80","C18orf25"
"81","DR1"
"82","PLCB3"
"83","C1orf35"
"84","KLHL21"
"85","YIF1B"
"86","ACYP1"
"87","KMT2D"
"88","TTC5"
"89","PARL"
"90","TADA2B"
"91","CLN8"
"92","GALNT10"
"93","TEAD2"
"94","UCN2"
"95","OTUD4"
"96","PAX3"
"97","FOXO3"
"98","STX2"
"99","MED13"
"100","PPP5C"
"101","API5"
"102","FCGR2A"
"103","INPP5A"
"104","NAF1"
"105","PPP1R15B"
"106","ELMSAN1"
"107","CDKN2AIPNL"
"108","MYL6"
"109","ZNF507"
"110","NACC2"
"111","EFCAB14"
"112","WIBG"
"113","HGFAC"
"114","CSAG1"
"115","PRIM1"
"116","IREB2"
"117","VDAC2"
"118","SFN"
"119","SLC6A8"
"120","TNC"
"121","FAM50A"
"122","KLHL24"
"123","NLGN2"
"124","ALG14"
"125","METTL8"
"126","PSME4"
"127","GALK2"
"128","SLC39A1"
"129","TMEM101"
"130","RBMXL1"
"131","NFYC"
"132","CLCC1"
"133","ATP5J2-PTCD1"
"134","PPP1R7"
"135","PTPN4"
"136","S100A11"
"137","MAP3K2"
"138","SRSF6"
"139","HADHB"
"140","MRE11A"
"141","CTPS1"
"142","ASB1"
"143","XRCC1"
"144","PSMA4"
"145","PEG10"
"146","CNTROB"
"147","BCL2L11"
"148","CTBP1"
"149","H3F3AP6"
"150","SEPHS2"
"151","PDAP1"
"152","RPP25"
"153","ATL3"
"154","SHMT1"
"155","CBWD1"
"156","MAU2"
"157","UVRAG"
"158","SLC38A2"
"159","CDK18"
"160","NEDD9"
"161","SLC30A7"
"162","C7orf43"
"163","VAMP5"
"164","DCUN1D2"
"165","SH3BP5"
"166","TRADD"
"167","SNRPA1"
"168","BPGM"
"169","CDC23"
"170","ECD"
"171","RAB5A"
"172","SRRM2"
"173","FAM20C"
"174","CRCP"
"175","PAGR1"
"176","CTDNEP1"
"177","ABHD3"
"178","RAC1"
"179","CKS1B"
"180","ARCN1"
"181","SF3B2"
"182","UGDH"
"183","PRKD1"
"184","CHCHD10"
"185","ASXL1"
"186","MIR101-2"
"187","NGRN"
"188","AXIN2"
"189","EFHD2"
"190","RAE1"
"191","CSE1L"
"192","SNRK"
"193","WDR11"
"194","DNAJC7"
"195","C11orf24"
"196","RALBP1"
"197","OSBPL10"
"198","FKBP7"
"199","NFYB"
"200","SLC25A13"
"201","SNX9"
"202","BRWD1"
"203","CLIC1"
"204","NAT10"
"205","TREX1"
"206","PRR13"
"207","DNAJC30"
"208","PITRM1"
"209","HERPUD1"
"210","SCP2"
"211","ATXN2"
"212","ZDHHC8"
"213","FNBP1"
"214","BUD31"
"215","EVI5"
"216","SAP18"
"217","PSMB4"
"218","DGCR6L"
"219","D2HGDH"
"220","BMPR2"
"221","IRF4"
"222","E2F4"
"223","STAU1"
"224","CEP41"
"225","PAFAH1B2"
"226","NCAPD2"
"227","DHRS7B"
"228","FARP1"
"229","ZBTB2"
"230","SON"
"231","PTGS2"
"232","APH1A"
"233","CAT"
"234","MIR149"
"235","TEX10"
"236","SPRYD7"
"237","TMEM2"
"238","PRIM2"
"239","LMNB1"
"240","PRPF38B"
"241","CYC1"
"242","TMEM65"
"243","DHX38"
"244","ITGB8"
"245","RAB5B"
"246","KLHL12"
"247","VEGFB"
"248","SLC35B3"
"249","ZNF24"
"250","YBX1"
"251","PATL1"
"252","MIR205"
"253","ENOX2"
"254","RPL34"
"255","ST8SIA1"
"256","SLC35E2B"
"257","SENP5"
"258","LDLRAP1"
"259","WDR77"
"260","REXO1"
"261","SLC25A12"
"262","NACC1"
"263","C9orf142"
"264","RAB10"
"265","TIAL1"
"266","PRR12"
"267","ADAMTS1"
"268","UBAP2"
"269","PSMD1"
"270","HSPA4"
"271","TMEM109"
"272","FZD6"
"273","HIVEP3"
"274","RRP1B"
"275","ILK"
"276","ELAVL1"
"277","RBBP7"
"278","RRAGA"
"279","NCAPH2"
"280","MIDN"
"281","MPG"
"282","CLIC4"
"283","NUP37"
"284","UCK1"
"285","UBE2Z"
"286","MAPKAPK2"
"287","RFC4"
"288","ZFYVE16"
"289","NUDCD1"
"290","STK38"
"291","RSU1"
"292","AHSA1"
"293","TCF7L2"
"294","PLEKHA2"
"295","TOR1AIP2"
"296","TMEM64"
"297","FOXK2"
"298","ZFP36L2"
"299","VDR"
"300","GZF1"
"301","MRPS9"
"302","ZNF317"
"303","EOGT"
"304","GDAP1"
"305","RSL24D1"
"306","TRMT1"
"307","ELP2"
"308","RCN2"
"309","PAXBP1"
"310","RPS5"
"311","CBX3"
"312","AHNAK"
"313","ERLIN2"
"314","CSNK1A1"
"315","ABCC1"
"316","ECI2"
"317","MCTP1"
"318","DHRS3"
"319","ALCAM"
"320","E2F6"
"321","VPS45"
"322","HSPA14"
"323","ME1"
"324","WIPF2"
"325","SYNJ2"
"326","UAP1"
"327","CAPN15"
"328","CDC25B"
"329","AP1B1"
"330","KHNYN"
"331","CHRAC1"
"332","KIAA0100"
"333","RAD1"
"334","CCNL1"
"335","ZNF207"
"336","CAMLG"
"337","ZNF160"
"338","DENR"
"339","DDX52"
"340","PLA2G12A"
"341","SLC9A6"
"342","ACBD6"
"343","HMBOX1"
"344","NUP188"
"345","TAF9B"
"346","ZCCHC8"
"347","TGFBR1"
"348","POLD1"
"349","SHC1"
"350","SMG5"
"351","WDR55"
"352","CCNB2"
"353","MAT2B"
"354","CDC42EP4"
"355","GSS"
"356","GPHN"
"357","STIP1"
"358","C16orf72"
"359","TUBA1C"
"360","PLEKHA1"
"361","ASPH"
"362","SLC35G1"
"363","MYO5A"
"364","OSBPL8"
"365","MTUS1"
"366","AGFG2"
"367","PCOLCE2"
"368","CD2AP"
"369","MRPS27"
"370","REEP4"
"371","DLC1"
"372","NSD1"
"373","MIR214"
"374","SPRED1"
"375","NME2"
"376","SQSTM1"
"377","EEFSEC"
"378","GYG1"
"379","MAP2K1"
"380","RCN1"
"381","RNF213"
"382","PLEKHA5"
"383","ATP5G2"
"384","ESRP1"
"385","RPL3"
"386","MTA2"
"387","SIGIRR"
"388","DHODH"
"389","FLYWCH1"
"390","LITAF"
"391","FUNDC1"
"392","MICAL2"
"393","FXN"
"394","CXCL1"
"395","ETV5"
"396","GTF2A1"
"397","MFSD6"
"398","NUCB2"
"399","UBR5"
"400","KIAA0586"
"401","NCOA5"
"402","OSTM1"
"403","BTN2A2"
"404","TESK1"
"405","HOXC4"
"406","BAG5"
"407","RNF4"
"408","GBAS"
"409","STK17A"
"410","C8orf76"
"411","EIF4G1"
"412","CKAP4"
"413","SETD1B"
"414","OXSR1"
"415","GLG1"
"416","WSB1"
"417","CTNNB1"
"418","MCL1"
"419","TOP2A"
"420","OSBPL9"
"421","PKMYT1"
"422","ARL15"
"423","ABCF2"
"424","TIMM13"
"425","RBM42"
"426","EXOC3"
"427","PPCS"
"428","PRPF40B"
"429","CDKAL1"
"430","TNRC6A"
"431","MRPL41"
"432","LEMD3"
"433","MRPS33"
"434","CPEB2"
"435","WBSCR16"
"436","PRKCDBP"
"437","GGA3"
"438","MMAB"
"439","HRAS"
"440","EMP2"
"441","BAHD1"
"442","SH3TC2"
"443","SLC6A6"
"444","CTDSP2"
"445","SOX4"
"446","EIF4EBP1"
"447","RAPH1"
"448","RABL2B"
"449","FBXL18"
"450","ABHD16A"
"451","SUPT20H"
"452","CLNS1A"
"453","DNMT1"
"454","GLA"
"455","CRBN"
"456","TSR1"
"457","STAT1"
"458","PTK2"
"459","HIST1H2BK"
"460","NDRG1"
"461","MCAT"
"462","SLC16A4"
"463","LUZP1"
"464","SNRPD2"
"465","NTPCR"
"466","GNAI3"
"467","KRIT1"
"468","WDR82"
"469","MMP3"
"470","STRAP"
"471","DYNLT1"
"472","NHP2L1"
"473","ATG16L1"
"474","DCK"
"475","ATG4B"
"476","HNRNPR"
"477","UNC119B"
"478","MIR29A"
"479","FNDC3B"
"480","CCNT1"
"481","AAR2"
"482","TAPT1"
"483","CLUAP1"
"484","ZNF791"
"485","FAM168B"
"486","CUL1"
"487","PTRF"
"488","USO1"
"489","AARS2"
"490","EXOC2"
"491","DFFA"
"492","C1orf27"
"493","MIER3"
"494","FNTB"
"495","GSK3B"
"496","CBR1"
"497","ZNF28"
"498","C9orf3"
"499","CHD9"
"500","PGRMC1"
"501","RMDN3"
"502","SUCLG2"
"503","TBP"
"504","COL4A3BP"
"505","PPP4R2"
"506","APPBP2"
"507","FBXL5"
"508","SLC25A25"
"509","TSC22D1"
"510","PLIN3"
"511","IGFBP3"
"512","RTF1"
"513","PDLIM1"
"514","CPT1A"
"515","ESF1"
"516","SEC16A"
"517","PNPT1"
"518","RAVER1"
"519","TXNIP"
"520","HPN"
"521","SLC7A6"
"522","SFMBT1"
"523","TUSC2"
"524","STX1A"
"525","RBM10"
"526","FGF2"
"527","NUP50"
"528","PIGN"
"529","WHSC1"
"530","MTHFD2"
"531","SPTBN1"
"532","C9orf78"
"533","DAAM1"
"534","TBC1D25"
"535","EDF1"
"536","ZNF106"
"537","DDX6"
"538","MBNL1"
"539","C7orf55-LUC7L2"
"540","GOLGA1"
"541","POT1"
"542","BAD"
"543","GPKOW"
"544","FYTTD1"
"545","DAGLB"
"546","EXOSC1"
"547","SFPQ"
"548","SPATA2"
"549","LIG3"
"550","GM2A"
"551","TRIM2"
"552","CREB1"
"553","SLC25A36"
"554","PHRF1"
"555","TRIP13"
"556","PLEKHA8"
"557","LOXL4"
"558","MNT"
"559","IRAK1"
"560","WT1"
"561","MAP2K2"
"562","TIMM50"
"563","GAR1"
"564","PSMB5"
"565","ZNF131"
"566","PTPRK"
"567","TSG101"
"568","SESN2"
"569","STAT3"
"570","FAM213A"
"571","NOL10"
"572","HIP1R"
"573","MED12"
"574","PEA15"
"575","TMEM14A"
"576","SF3A1"
"577","NFKBIA"
"578","ENOPH1"
"579","FLCN"
"580","ZNF12"
"581","CBX4"
"582","SMC3"
"583","NHP2"
"584","RPS28"
"585","SNAI1"
"586","IPO5"
"587","BIRC5"
"588","SLFN5"
"589","IFFO2"
"590","IGF1"
"591","IFI44"
"592","RBM33"
"593","DDRGK1"
"594","TPCN2"
"595","WDR19"
"596","ZFYVE27"
"597","CHMP2B"
"598","TPRN"
"599","AGO1"
"600","BCL3"
"601","YARS"
"602","TPD52"
"603","RNU4-2"
"604","SUMO1"
"605","NIPA2"
"606","SMU1"
"607","DERA"
"608","UGT8"
"609","MBTPS2"
"610","CORO1B"
"611","SC5D"
"612","PEX19"
"613","SLC19A1"
"614","TWSG1"
"615","GPR180"
"616","TRIM21"
"617","NAA40"
"618","KIAA0391"
"619","HIST1H2AC"
"620","SPRY1"
"621","ACADSB"
"622","C12orf73"
"623","SLC7A11"
"624","CCDC137"
