,name,cmt,degree
1,HIST1H1C,19,3
2,KLHL36,10,1
3,NAP1L4,6,1
4,CENPO,16,2
5,HOXA4,7,1
6,CDK2,7,6
7,NT5DC3,8,3
8,KLHDC3,13,3
9,UQCRQ,16,2
10,SLC10A3,20,1
11,PEX11B,20,3
12,MBD1,8,5
13,WLS,20,1
14,POLR2A,8,3
15,SLC7A5,14,5
16,HLA-C,16,2
17,C2orf44,20,1
18,CAPNS1,7,5
19,ZBTB8OS,20,2
20,RPL10,7,2
21,ESRRA,17,4
22,NUBPL,11,1
23,PRRC2B,10,6
24,DDR2,11,2
25,S100PBP,2,1
26,UBE2N,17,3
27,DUSP7,21,4
28,AKIP1,21,1
29,PLEKHO1,20,2
30,EEF2,9,7
31,NECAB3,6,1
32,SRFBP1,10,2
33,DLX1,3,1
34,CASK,18,1
35,LARP1,2,4
36,BAZ2B,10,3
37,RPS6KA3,9,10
38,ARL2,6,2
39,NFE2L1,7,4
40,PAN2,13,2
41,UHRF1,8,4
42,HAX1,1,1
43,TES,8,3
44,COX10,16,3
45,GCDH,21,1
46,FADD,19,2
47,PKN2,1,1
48,RNF24,21,2
49,CAPRIN2,15,2
50,PAPSS1,20,1
51,TUG1,7,1
52,S100A6,7,2
53,YEATS2,14,3
54,CUTA,1,1
55,POLR2I,10,1
56,NAB1,10,1
57,SIN3A,7,6
58,SLC29A1,21,1
59,DIP2A,20,2
60,BUB1B,3,1
61,SYNE2,9,6
62,ABI2,15,5
63,CRLF3,19,2
64,BCL2L13,6,2
65,AKR1A1,8,2
66,PMAIP1,7,11
67,SPATA13,18,1
68,ATAD3B,20,1
69,GCLC,7,6
70,HNRNPLL,10,1
71,PBRM1,2,4
72,TPX2,3,2
73,FMN1,10,2
74,ETNK2,1,2
75,TGFB1,7,7
76,ARHGEF25,10,1
77,PHLPP1,19,2
78,GEMIN4,21,2
79,CNOT1,17,4
80,C18orf25,17,3
81,DR1,1,2
82,PLCB3,20,1
83,C1orf35,10,3
84,KLHL21,6,2
85,YIF1B,10,1
86,ACYP1,5,1
87,KMT2D,9,5
88,TTC5,10,1
89,PARL,10,1
90,TADA2B,1,1
91,CLN8,10,5
92,GALNT10,2,1
93,TEAD2,7,3
94,UCN2,7,1
95,OTUD4,13,5
96,PAX3,7,17
97,FOXO3,7,20
98,STX2,5,1
99,MED13,15,3
100,PPP5C,1,1
101,API5,3,1
102,FCGR2A,13,2
103,INPP5A,1,1
104,NAF1,20,1
105,PPP1R15B,2,4
106,ELMSAN1,13,4
107,CDKN2AIPNL,16,3
108,MYL6,10,1
109,ZNF507,4,5
110,NACC2,2,3
111,EFCAB14,4,5
112,WIBG,11,1
113,HGFAC,12,1
114,CSAG1,17,1
115,PRIM1,8,4
116,IREB2,9,3
117,VDAC2,10,1
118,SFN,8,2
119,SLC6A8,10,1
120,TNC,7,4
121,FAM50A,3,1
122,KLHL24,5,2
123,NLGN2,21,1
124,ALG14,10,7
125,METTL8,13,1
126,PSME4,1,1
127,GALK2,16,1
128,SLC39A1,7,3
129,TMEM101,17,2
130,RBMXL1,16,1
131,NFYC,7,5
132,CLCC1,2,3
133,ATP5J2-PTCD1,21,1
134,PPP1R7,20,1
135,PTPN4,16,2
136,S100A11,1,1
137,MAP3K2,11,2
138,SRSF6,9,1
139,HADHB,3,1
140,MRE11A,8,1
141,CTPS1,20,1
142,ASB1,5,1
143,XRCC1,8,3
144,PSMA4,11,2
145,PEG10,2,5
146,CNTROB,21,1
147,BCL2L11,7,20
148,CTBP1,5,3
149,H3F3AP6,8,1
150,SEPHS2,3,1
151,PDAP1,5,3
152,RPP25,15,3
153,ATL3,21,1
154,SHMT1,18,3
155,CBWD1,5,1
156,MAU2,10,1
157,UVRAG,18,2
158,SLC38A2,16,7
159,CDK18,17,1
160,NEDD9,13,4
161,SLC30A7,16,5
162,C7orf43,2,1
163,VAMP5,9,1
164,DCUN1D2,1,1
165,SH3BP5,3,1
166,TRADD,15,1
167,SNRPA1,5,2
168,BPGM,5,1
169,CDC23,13,3
170,ECD,8,1
171,RAB5A,19,1
172,SRRM2,4,4
173,FAM20C,10,1
174,CRCP,15,2
175,PAGR1,9,2
176,CTDNEP1,21,1
177,ABHD3,17,1
178,RAC1,14,9
179,CKS1B,9,1
180,ARCN1,3,3
181,SF3B2,3,1
182,UGDH,9,7
183,PRKD1,20,1
184,CHCHD10,10,3
185,ASXL1,21,2
186,MIR101-2,19,239
187,NGRN,19,3
188,AXIN2,8,1
189,EFHD2,16,4
190,RAE1,8,1
191,CSE1L,8,3
192,SNRK,11,3
193,WDR11,1,2
194,DNAJC7,5,1
195,C11orf24,10,4
196,RALBP1,7,2
197,OSBPL10,17,4
198,FKBP7,5,1
199,NFYB,7,38
200,SLC25A13,20,1
201,SNX9,3,2
202,BRWD1,17,3
203,CLIC1,10,3
204,NAT10,21,1
205,TREX1,7,3
206,PRR13,17,3
207,DNAJC30,13,3
208,PITRM1,3,2
209,HERPUD1,20,1
210,SCP2,2,1
211,ATXN2,7,3
212,ZDHHC8,10,1
213,FNBP1,9,4
214,BUD31,1,1
215,EVI5,5,3
216,SAP18,8,1
217,PSMB4,10,1
218,DGCR6L,19,1
219,D2HGDH,8,1
220,BMPR2,11,3
221,IRF4,7,13
222,E2F4,7,11
223,STAU1,17,2
224,CEP41,1,2
225,PAFAH1B2,17,4
226,NCAPD2,1,4
227,DHRS7B,10,1
228,FARP1,20,1
229,ZBTB2,7,4
230,SON,20,5
231,PTGS2,7,28
232,APH1A,10,2
233,CAT,7,4
234,MIR149,21,633
235,TEX10,17,2
236,SPRYD7,20,1
237,TMEM2,17,6
238,PRIM2,21,2
239,LMNB1,19,4
240,PRPF38B,19,1
241,CYC1,7,2
242,TMEM65,20,1
243,DHX38,8,1
244,ITGB8,7,8
245,RAB5B,6,1
246,KLHL12,14,1
247,VEGFB,7,2
248,SLC35B3,9,2
249,ZNF24,10,6
250,YBX1,7,16
251,PATL1,16,1
252,MIR205,14,200
253,ENOX2,3,1
254,RPL34,21,1
255,ST8SIA1,7,4
256,SLC35E2B,10,1
257,SENP5,3,1
258,LDLRAP1,9,2
259,WDR77,18,2
260,REXO1,10,3
261,SLC25A12,9,3
262,NACC1,19,4
263,C9orf142,1,1
264,RAB10,16,3
265,TIAL1,2,5
266,PRR12,8,3
267,ADAMTS1,10,2
268,UBAP2,8,1
269,PSMD1,21,1
270,HSPA4,7,3
271,TMEM109,4,2
272,FZD6,14,4
273,HIVEP3,11,2
274,RRP1B,8,2
275,ILK,7,4
276,ELAVL1,9,3
277,RBBP7,10,1
278,RRAGA,1,2
279,NCAPH2,3,1
280,MIDN,17,6
281,MPG,20,2
282,CLIC4,19,3
283,NUP37,3,1
284,UCK1,20,2
285,UBE2Z,10,5
286,MAPKAPK2,14,5
287,RFC4,3,1
288,ZFYVE16,11,3
289,NUDCD1,18,2
290,STK38,20,1
291,RSU1,8,1
292,AHSA1,6,3
293,TCF7L2,7,16
