模型,|x1|,|x2|,D1,D2,b,λ,c,a
1,301,321,62,269,4,0,0.331,0.034
2,191,195,57,67,4,0,0.805,0.347
3,341,354,76,52,4,0,0,0.008
4,161,171,145,123,16,0,0,0.271
5,211,227,80,88,8,0,0.212,0.028
6,152,159,116,8,4,0,0,0.031
7,560,566,557,225,4,0,0,0.046
8,247,260,130,139,8,0,0.721,0.051
9,143,154,125,47,4,0,0.876,0.194
10,557,579,161,161,4,0,0,0.011
11,235,240,57,217,16,0,0,0.007
12,6,6,2,1,16,0.001,0,0.01
13,161,173,41,71,16,0,0.281,0.007
14,152,160,148,69,4,0,0,0.241
15,125,127,36,57,16,0,0.266,0.008
16,176,181,83,128,4,0.003,0,0.351
17,264,270,20,109,4,0,0,0.01
18,142,151,14,57,4,0.016,0,0.019
19,222,235,53,11,8,0,0,0.022
20,355,370,292,304,4,0.0007,0.18,0.015
21,281,294,29,48,8,0,0.289,0.019
