"","source_symbol","target_symbol"
"1","MIR149","FAF2"
"2","MIR193B","FAF2"
"3","MIR31","SATB2"
"4","MIR34A","SATB2"
"5","MIR182","SATB2"
"6","MIR149","SATB2"
"7","MIR338","BTG3"
"8","CREB1","IER2"
"9","MIR155","CSRP2"
"10","MIR199A2","CSRP2"
"11","MIR92A2","POLR3A"
"12","MIR193B","POLR3A"
"13","MIR92A2","COX4I1"
"14","MIR222","CEP55"
"15","MIR148A","CEP55"
"16","MIR155","CEP55"
"17","MIR199A2","CEP55"
"18","MIR25","C14orf2"
"19","MIR9-3","NFKB1"
"20","MIR155","LSM3"
"21","MIR34A","CDK6"
"22","CDK6","CDK6"
"23","MIR221","CDK6"
"24","MIR137","CDK6"
"25","SP1","CDK6"
"26","MIR29B2","CDK6"
"27","MIR29A","CDK6"
"28","MIR21","CDK6"
"29","MIR193B","CDK6"
"30","MIR214","CDK6"
"31","MIRLET7B","CDK6"
"32","MIR155","CDK6"
"33","MIR203A","CDK6"
"34","MIR205","CDK6"
"35","MIR222","CDK6"
"36","MIR34A","RBM26"
"37","MIR34A","MAGEA2"
"38","MIR34A","ZNF644"
"39","MIR155","ZNF644"
"40","MIR18B","ZNF644"
"41","MIRLET7B","ZNF644"
"42","CHEK2","MDM4"
"43","ATM","MDM4"
"44","MDM4","MDM4"
"45","MIR181A1","PDIA6"
"46","MIR205","SLC37A4"
"47","MIR193B","SLC37A4"
"48","MIR222","SLC37A4"
"49","TP53","MDM2"
"50","MIR18B","MDM2"
"51","PAX3","MDM2"
"52","MIR101-2","MRPL42"
"53","MIR193B","MRPL42"
"54","MIRLET7B","KIAA0930"
"55","MIR338","SLC35A5"
"56","MIRLET7B","SLC35A5"
"57","MIR92A2","FKBP14"
"58","MIR101-2","FKBP14"
"59","MIR181A1","FKBP14"
"60","MIR193B","RAB32"
"61","MIR3916","RAB32"
"62","MIR21","RAB32"
"63","MIR25","EIF4G2"
"64","MIRLET7B","EIF4G2"
"65","MIR92A2","EIF4G2"
"66","MIR101-2","EIF4G2"
"67","MIR155","EIF4G2"
"68","MIR92A2","IBTK"
"69","MIR148A","PAN3"
"70","MIR21","PAN3"
"71","MIRLET7B","MED14"
"72","MIR193B","LIN37"
"73","MIRLET7B","PDK1"
"74","MIR155","PDK1"
"75","JUN","PDK1"
"76","MIR193B","PTPN9"
"77","MIR9-3","CXXC5"
"78","MIR92A2","KCTD7"
"79","SP1","C1orf109"
"80","MIR181A1","C1orf109"
"81","MIR181A1","KRAS"
"82","MIR193B","KRAS"
"83","MIR30D","KRAS"
"84","MIR155","KRAS"
"85","MIR3916","KRAS"
"86","MIR206","KRAS"
"87","MIR200B","KRAS"
"88","MIRLET7B","CPSF3L"
"89","MIR200B","VAC14"
"90","MIR9-3","ASB7"
"91","MIR92A2","DAZAP1"
"92","MIR193B","DAZAP1"
"93","MIR222","DAZAP1"
"94","MIR155","SLC35A1"
"95","SP3","CDKN2B"
"96","SP1","CDKN2B"
"97","RELA","STK39"
"98","SP1","STK39"
"99","SP3","BSG"
"100","SP1","BSG"
"101","MIR92A2","BSG"
"102","MIR34A","NCBP2"
"103","MIR31","NCBP2"
"104","MIR9-3","APBB2"
"105","MIR155","KDELC1"
"106","MIR155","CLINT1"
"107","MIRLET7B","CLINT1"
"108","MIR29B2","TPM3"
"109","MIR25","TPM3"
"110","MIR92A2","TPM3"
"111","MIR214","TPM3"
"112","MIR30D","TBC1D10B"
"113","MIR149","TBC1D10B"
"114","MIR155","SRPK2"
"115","MIR181A1","SRPK2"
"116","MIR21","SRPK2"
"117","TFAP2A","CDH1"
"118","SNAI1","CDH1"
"119","TCF12","CDH1"
"120","MIR25","CDH1"
"121","ADAM10","CDH1"
"122","CREB1","CDH1"
"123","SNAI2","CDH1"
"124","MTA1","CDH1"
"125","MIR9-3","CDH1"
"126","TOPORS","CDH1"
"127","MIR199A2","CDH1"
"128","MIR193B","CDH1"
"129","MIR18B","CDH1"
"130","TFAP2C","CDH1"
"131","TBX3","CDH1"
"132","HIF1A","CDH1"
"133","TWIST1","CDH1"
"134","CDC6","CDH1"
"135","MIR92A2","CDH1"
"136","SP1","CDH1"
"137","MIR181A1","LRRC8D"
"138","MIR30D","LRRC8D"
"139","MIR31","C15orf52"
"140","MIR21","C15orf52"
"141","MIR338","C15orf52"
"142","MIR149","PLEKHA3"
"143","MIR92A2","PLEKHA3"
"144","MIRLET7B","PLEKHA3"
"145","MIR101-2","PLEKHA3"
"146","MIR18B","TOMM20"
"147","MIR155","TOMM20"
"148","GABPA","TOMM20"
"149","MIR221","TOMM20"
"150","NRF1","TOMM20"
"151","MIR149","TOMM20"
"152","SP3","PCYT2"
"153","MIRLET7B","PCYT2"
"154","SP1","PCYT2"
"155","RELA","PCYT2"
"156","MIR199A2","CAV2"
"157","MIR155","DNAJC2"
"158","MIRLET7B","RPL12"
"159","MIR193B","RPL12"
"160","MIR222","RPL12"
"161","MIR31","RPL12"
"162","NONO","RPL12"
"163","SFPQ","RPL12"
"164","MIR203A","SMCHD1"
"165","MIR149","SMCHD1"
"166","MIR181A1","SMCHD1"
"167","MIR221","SMCHD1"
"168","MIRLET7B","PPID"
"169","MIRLET7B","GTF2I"
"170","MIR21","GTF2I"
"171","MIR30D","RNF135"
"172","MIR155","MUT"
"173","MIR155","PHF14"
"174","MIR200B","PHF14"
"175","MIR30D","PPTC7"
"176","MIR149","PPTC7"
"177","MIR214","PPTC7"
"178","MIR21","CPM"
"179","MIR149","CPM"
"180","MIR101-2","CPEB1"
"181","MIRLET7B","CPEB1"
"182","MIR9-3","TBC1D9"
"183","MIR34A","HIBADH"
"184","FOXO3","RRM2B"
"185","MIR92A2","TNRC18"
"186","MIR34A","TNRC18"
"187","NFYA","DEK"
"188","MIR155","DEK"
"189","YY1","DEK"
"190","MIR25","RBM27"
"191","MIR92A2","RBM27"
"192","MIR137","RBM27"
"193","MIR205","CUL5"
"194","MIR181A1","CUL5"
"195","MIR92A2","CUL5"
"196","MIRLET7B","ENTPD6"
"197","MIR34A","PRPF40A"
"198","MIR149","DNAJC24"
"199","MIR214","TAF1D"
"200","MIR200B","TAF1D"
"201","MIR199A2","TAF1D"
"202","MIR222","TAF1D"
"203","NFYA","MLH1"
"204","MIR31","MLH1"
"205","MIR214","MLH1"
"206","TP53","MLH1"
"207","MIR155","MLH1"
"208","BHLHE40","MLH1"
"209","MIRLET7B","VEZF1"
"210","MIR155","VEZF1"
"211","MIR9-3","NUDT3"
"212","MIR31","NUDT3"
"213","MIR221","NUDT3"
"214","MIR155","CDK5"
"215","MIR21","PKD2"
"216","MIR181A1","KRBOX4"
"217","MIR221","SPTSSA"
"218","MIR155","NOB1"
"219","MIR206","NUDT21"
"220","MIR205","NUDT21"
"221","MIR30D","ARL2BP"
"222","MIR200B","SOD2"
"223","JUNB","SOD2"
"224","FOSL2","SOD2"
"225","MIR199A2","SOD2"
"226","TFAP2C","SOD2"
"227","FOXO3","SOD2"
"228","CREB1","SOD2"
"229","JUN","SOD2"
"230","DDB2","SOD2"
"231","FOS","SOD2"
"232","MIR203A","SOD2"
"233","MIR222","SOD2"
"234","SP1","SOD2"
"235","MIR146A","SOD2"
"236","MIRLET7B","SOD2"
"237","MIR3916","SOD2"
"238","TFAP2A","SOD2"
"239","MIR9-3","SOD2"
"240","MIR92A2","DUSP10"
"241","MIR21","DUSP10"
"242","MIR146A","RNF19B"
"243","MIR193B","RNF19B"
"244","MIR92A2","MED19"
"245","MIR25","MED19"
"246","MIR193B","KLHL22"
"247","ETS2","SURF1"
"248","YY1","SURF1"
"249","SP1","SURF1"
"250","MIR92A2","ETFA"
"251","MIRLET7B","ETFA"
"252","MIR25","ETFA"
"253","FOSL1","MMP1"
"254","SMAD3","MMP1"
"255","ATF3","MMP1"
"256","STAT3","MMP1"
"257","NFKB1","MMP1"
"258","FOS","MMP1"
"259","SP1","MMP1"
"260","JUND","MMP1"
"261","CREM","MMP1"
"262","ETV5","MMP1"
"263","JUN","MMP1"
"264","MIR222","MMP1"
"265","ETS1","MMP1"
"266","JUNB","MMP1"
"267","CEBPB","MMP1"
"268","MIR203A","MMP1"
"269","SMAD4","MMP1"
"270","NFATC2","MMP1"
"271","TWIST1","MMP1"
"272","ETV4","MMP1"
"273","CREB1","MMP1"
"274","MAZ","MMP1"
"275","MIRLET7B","NACA"
"276","MIR149","NACA"
"277","MIR101-2","NACA"
"278","MIR193B","METTL13"
"279","E2F1","SP3"
"280","JUND","SP3"
"281","NFIC","SP3"
"282","NFYB","SP3"
"283","SP3","SP3"
"284","MYB","SP3"
"285","SP1","SP3"
"286","MIR92A2","KLHL18"
"287","MIR193B","BRCC3"
"288","MIR92A2","BRCC3"
"289","MIR149","ZNHIT6"
"290","MIR199A2","MECP2"
"291","MIR155","MECP2"
"292","MIR92A2","MECP2"
"293","MIR222","OAZ2"
"294","MIR30D","PGGT1B"
"295","MIRLET7B","PGGT1B"
"296","MIR92A2","PTPN13"
"297","MIR30D","GPRC5A"
"298","MIR148A","GPRC5A"
"299","MIR222","GPRC5A"
"300","MIR338","GPRC5A"
"301","MIR34A","MMS19"
"302","MIR221","ADD1"
"303","MIR193B","DUT"
"304","MIR34A","DUT"
"305","CEBPB","PROS1"
"306","ESR1","PROS1"
"307","STAT3","PROS1"
"308","NFYA","PROS1"
"309","SP3","PROS1"
"310","SP1","PROS1"
"311","MIR193B","SLC18B1"
"312","MIR31","SLC18B1"
"313","MIR92A2","RPL24"
"314","MIRLET7B","AIDA"
"315","MIR92A2","AIDA"
"316","MIR92A2","KIAA1468"
"317","MIR9-3","KIAA1468"
"318","MIR149","MICAL1"
"319","MIR21","ZNF326"
"320","MIR137","ZNF326"
"321","MIR149","CCT4"
"322","MIR29A","CCT4"
"323","MIR193B","CCT4"
"324","JUND","NR4A1"
"325","CREB1","NR4A1"
"326","MIR34A","AKR1B1"
"327","MIR101-2","SLC35F5"
"328","MIR30D","KLF10"
"329","MIRLET7B","KLF10"
"330","MIR200B","KLF10"
"331","MIR193B","C7orf26"
"332","MIR155","NOLC1"
"333","NFKB1","NOLC1"
"334","MIRLET7B","NOLC1"
"335","MIR222","NOLC1"
"336","CREB1","NOLC1"
"337","MIR155","PHC2"
"338","MIR205","PHC2"
"339","MIR29B2","SFT2D2"
"340","MIR9-3","SFT2D2"
"341","MIR3916","SFT2D2"
"342","MIR31","SFT2D2"
"343","MIR149","SFT2D2"
"344","MIR200B","SEC24A"
"345","MIR9-3","SEC24A"
"346","MIR92A2","SEC24A"
"347","MIR30D","SEC24A"
"348","MIRLET7B","SEC24A"
"349","MIR222","MACF1"
"350","MIR92A2","MACF1"
"351","MIR30D","MACF1"
"352","MIR149","STARD3"
"353","MIR92A2","SAMD4B"
"354","MIR30D","SAMD4B"
"355","MIR3916","SAMD4B"
"356","MIR31","BLOC1S4"
"357","MIR25","BLOC1S4"
"358","MIRLET7B","ZER1"
"359","MIR92A2","ZER1"
"360","MIRLET7B","TMEM201"
"361","MIR205","TMEM201"
"362","MIR9-3","XRN2"
"363","MAPK3","MYC"
"364","MYC","MYC"
"365","MIR200B","SEPT7"
"366","MIR34A","SEPT7"
"367","MIRLET7B","EIF4A3"
"368","MIR149","EIF4A3"
"369","MIR199A2","LIF"
"370","MIR222","SLC25A51"
"371","MIR92A2","PRPF8"
"372","MIR25","PRPF8"
"373","MIRLET7B","PRPF8"
"374","MIR193B","PRPF8"
"375","MIR193B","S100A16"
"376","MIR92A2","KIF18B"
"377","MIRLET7B","FADS2"
"378","MIR30D","CAMSAP1"
"379","MIR193B","CDCA2"
"380","BRAF","BRAF"
"381","MAPK3","BRAF"
"382","MIR30D","SETD3"
"383","MIR34A","SETD3"
"384","MIR193B","ARHGAP11A"
"385","MIR25","CABIN1"
"386","MIR18B","DCAF8"
"387","MIR21","DCAF8"
"388","MIR205","NEK9"
"389","MIRLET7B","NEK9"
"390","FOXO3","PRDX3"
"391","MIR193B","PRDX3"
"392","MIR181A1","PRDX3"
"393","MIR149","TRAP1"
"394","MIR92A2","TRAP1"
"395","MIR193B","TRAP1"
"396","MIR25","TRAP1"
"397","MIR222","TRAP1"
"398","MIR222","SLC35A2"
"399","MIR25","IL6ST"
"400","STAT1","IL6ST"
"401","MIR92A2","IL6ST"
"402","STAT3","IL6ST"
"403","MIR221","WDR34"
"404","MIR222","POLD2"
"405","MIRLET7B","POLD2"
"406","MIR193B","ELK3"
"407","MIR155","DSG2"
"408","MIRLET7B","DSG2"
"409","MIRLET7B","ARHGAP26"
"410","MIR203A","SLC7A6OS"
"411","TP53","YAP1"
"412","CREB1","YAP1"
"413","MIR3916","YAP1"
"414","GABPA","YAP1"
"415","MIRLET7B","YAP1"
"416","MIR193B","COPRS"
"417","MIR21","GNB4"
"418","MIR155","GNB4"
"419","EPAS1","EPAS1"
"420","EGLN2","EPAS1"
"421","MIR193B","GPATCH11"
"422","MIR29B2","RPS4X"
"423","MIR182","RPS4X"
"424","MIRLET7B","RPS4X"
"425","MIR338","RPS4X"
"426","MIR29A","RPS4X"
"427","SFPQ","RPS4X"
"428","NONO","RPS4X"
"429","MIR221","TMEM168"
"430","MIR101-2","TMEM168"
"431","SP1","BLMH"
"432","MIR92A2","BLMH"
"433","IRF2","BLMH"
"434","MIR21","FAM20B"
"435","MIR29B2","FAM20B"
"436","MIR193B","FAM20B"
"437","MIR34A","RNF40"
"438","MIRLET7B","RNF40"
"439","MIR92A2","RNF40"
"440","MIR29B2","NKIRAS2"
"441","MIR29A","NKIRAS2"
"442","MIR92A2","NKIRAS2"
"443","MIRLET7B","EAF1"
"444","MIR155","GCFC2"
"445","MIR149","GCFC2"
"446","MIRLET7B","PVR"
"447","TFAP2A","PVR"
"448","NRF1","PVR"
"449","SP1","SLC12A4"
"450","MIR92A2","SLC12A4"
"451","MIR25","SLC12A4"
"452","MIR155","SLC12A4"
"453","TFAP2A","SLC12A4"
"454","TFAP2C","SLC12A4"
"455","MIR149","HMGXB4"
"456","MIR221","HMGXB4"
"457","HRAS","HRAS"
"458","MIRLET7B","ABCB10"
"459","MIR21","UGGT1"
"460","MIRLET7B","GATC"
"461","MIR221","ARHGEF18"
"462","MIR92A2","SLC9A1"
"463","MIR199A2","CREBZF"
"464","MIR222","CREBZF"
"465","MIR29B2","CREBZF"
"466","MIR221","CREBZF"
"467","MIRLET7B","CREBZF"
"468","MIR9-3","FSTL3"
"469","MIR193B","ABT1"
"470","MIRLET7B","ABT1"
"471","MIR200B","ABT1"
"472","MIR92A2","ZMYND8"
"473","MIR30D","ZMYND8"
"474","MIR149","ARMC10"
"475","MIRLET7B","ARIH1"
"476","MIR29B2","SOX12"
"477","MIR18B","SOX12"
"478","MIR30D","SOX12"
"479","MIR92A2","PRKCA"
"480","TFAP2A","PRKCA"
"481","MIR193B","PRKCA"
"482","MIR203A","PRKCA"
"483","ELK1","PRKCA"
"484","MIR214","PRKCA"
"485","SP1","PRKCA"
"486","MIR148A","CCT6A"
"487","MIR149","CCT6A"
"488","PAX3","SPRY2"
"489","MIR181A1","SPRY2"
"490","MIR21","SPRY2"
"491","MIR148A","SPRY2"
