"","hgnc_symbol"
"1","HIST1H1C"
"2","KLHL36"
"3","NAP1L4"
"4","CENPO"
"5","HOXA4"
"6","CDK2"
"7","NT5DC3"
"8","KLHDC3"
"9","UQCRQ"
"10","SLC10A3"
"11","PEX11B"
"12","MBD1"
"13","WLS"
"14","POLR2A"
"15","SLC7A5"
"16","HLA-C"
"17","C2orf44"
"18","CAPNS1"
"19","ZBTB8OS"
"20","RPL10"
"21","ESRRA"
"22","NUBPL"
"23","PRRC2B"
"24","DDR2"
"25","S100PBP"
"26","UBE2N"
"27","DUSP7"
"28","AKIP1"
"29","PLEKHO1"
"30","EEF2"
"31","NECAB3"
"32","SRFBP1"
"33","DLX1"
"34","CASK"
"35","LARP1"
"36","BAZ2B"
"37","RPS6KA3"
"38","ARL2"
"39","NFE2L1"
"40","PAN2"
"41","UHRF1"
"42","HAX1"
"43","TES"
"44","COX10"
"45","GCDH"
"46","FADD"
"47","PKN2"
"48","RNF24"
"49","CAPRIN2"
"50","PAPSS1"
"51","TUG1"
"52","S100A6"
"53","YEATS2"
"54","CUTA"
"55","POLR2I"
"56","NAB1"
"57","SIN3A"
"58","SLC29A1"
"59","DIP2A"
"60","BUB1B"
"61","SYNE2"
"62","RXRB"
"63","ABI2"
"64","CRLF3"
"65","BCL2L13"
"66","AKR1A1"
"67","PMAIP1"
"68","SPATA13"
"69","ATAD3B"
"70","GCLC"
"71","HNRNPLL"
"72","PBRM1"
"73","TPX2"
"74","FMN1"
"75","ETNK2"
"76","TGFB1"
"77","ARHGEF25"
"78","PHLPP1"
"79","GEMIN4"
"80","CNOT1"
"81","C18orf25"
"82","DR1"
"83","PLCB3"
"84","C1orf35"
"85","KLHL21"
"86","YIF1B"
"87","ACYP1"
"88","KMT2D"
"89","TTC5"
"90","PARL"
"91","TADA2B"
"92","CLN8"
"93","GALNT10"
"94","TEAD2"
"95","UCN2"
"96","OTUD4"
"97","PAX3"
"98","FOXO3"
"99","STX2"
"100","MED13"
"101","PPP5C"
"102","API5"
"103","FCGR2A"
"104","INPP5A"
"105","NAF1"
"106","PPP1R15B"
"107","ELMSAN1"
"108","CDKN2AIPNL"
"109","MYL6"
"110","ZNF507"
"111","NACC2"
"112","EFCAB14"
"113","WIBG"
"114","HGFAC"
"115","CSAG1"
"116","PRIM1"
"117","IREB2"
"118","VDAC2"
"119","SFN"
"120","SLC6A8"
"121","TNC"
"122","FAM50A"
"123","KLHL24"
"125","NLGN2"
"126","ALG14"
"127","METTL8"
"128","PSME4"
"129","GALK2"
"130","SLC39A1"
"131","TMEM101"
"132","RBMXL1"
"133","NFYC"
"134","CLCC1"
"135","ATP5J2-PTCD1"
"136","PPP1R7"
"137","PTPN4"
"138","S100A11"
"139","MAP3K2"
"140","SRSF6"
"141","HADHB"
"142","MRE11A"
"143","CTPS1"
"144","ASB1"
"145","XRCC1"
"146","PSMA4"
"147","PEG10"
"148","CNTROB"
"149","BCL2L11"
"150","CTBP1"
"151","H3F3AP6"
"152","SEPHS2"
"153","PDAP1"
"154","RPP25"
"155","ATL3"
"156","SHMT1"
"157","CBWD1"
"158","MAU2"
"159","UVRAG"
"160","SLC38A2"
"161","CDK18"
"162","NEDD9"
"163","SLC30A7"
"164","C7orf43"
"165","VAMP5"
"166","DCUN1D2"
"167","SH3BP5"
"168","TRADD"
"169","SNRPA1"
"170","BPGM"
"171","CDC23"
"172","ECD"
"173","RAB5A"
"174","SRRM2"
"175","FAM20C"
"176","CRCP"
"177","PAGR1"
"178","CTDNEP1"
"179","ABHD3"
"180","RAC1"
"181","CKS1B"
"182","ARCN1"
"183","SF3B2"
"184","UGDH"
"185","PRKD1"
"186","CHCHD10"
"187","ASXL1"
"188","MIR101-2"
"189","NGRN"
"190","AXIN2"
"191","EFHD2"
"192","RAE1"
"193","CSE1L"
"194","SNRK"
"195","WDR11"
"196","DNAJC7"
"197","C11orf24"
"198","RALBP1"
"199","OSBPL10"
"200","FKBP7"
"201","NFYB"
"202","SLC25A13"
"203","SNX9"
"204","BRWD1"
"205","CLIC1"
"206","NAT10"
"207","TREX1"
"208","PRR13"
"209","DNAJC30"
"210","PITRM1"
"211","HERPUD1"
"212","SCP2"
"213","ATXN2"
"214","ZDHHC8"
"215","FNBP1"
"216","BUD31"
"217","EVI5"
"218","SAP18"
"219","PSMB4"
"220","DGCR6L"
"221","D2HGDH"
"222","BMPR2"
"223","IRF4"
"224","E2F4"
"225","STAU1"
"226","CEP41"
"227","PAFAH1B2"
"228","NCAPD2"
"229","DHRS7B"
"230","FARP1"
"231","ZBTB2"
"232","SON"
"233","PTGS2"
"234","APH1A"
"235","CAT"
"236","MIR149"
"237","TEX10"
"238","SPRYD7"
"239","TMEM2"
"240","PRIM2"
"241","LMNB1"
"242","PRPF38B"
"243","CYC1"
"244","TMEM65"
"245","DHX38"
"246","ITGB8"
"247","RAB5B"
"248","KLHL12"
"249","VEGFB"
"250","SLC35B3"
"251","ZNF24"
"252","YBX1"
"253","PATL1"
"254","MIR205"
"255","ENOX2"
"256","RPL34"
"257","ST8SIA1"
"258","SLC35E2B"
"259","SENP5"
"260","LDLRAP1"
"261","WDR77"
"262","REXO1"
"263","SLC25A12"
"264","NACC1"
"265","C9orf142"
"266","RAB10"
"267","TIAL1"
"268","PRR12"
"269","ADAMTS1"
"270","UBAP2"
"271","PSMD1"
"272","HSPA4"
"273","TMEM109"
"274","FZD6"
"275","HIVEP3"
"276","RRP1B"
"277","ILK"
"278","ELAVL1"
"279","RBBP7"
"280","RRAGA"
"281","NCAPH2"
"282","MIDN"
"283","MPG"
"284","CLIC4"
"285","NUP37"
"286","UCK1"
"287","UBE2Z"
"288","MAPKAPK2"
"289","RFC4"
"290","ZFYVE16"
"291","NUDCD1"
"292","STK38"
"293","RSU1"
"294","AHSA1"
"295","TCF7L2"
"296","PLEKHA2"
"297","TOR1AIP2"
"298","TMEM64"
"299","FOXK2"
"300","ZFP36L2"
"301","VDR"
"302","GZF1"
"303","MRPS9"
"304","ZNF317"
"305","EOGT"
"306","GDAP1"
"307","RSL24D1"
"308","TRMT1"
"309","ELP2"
"310","RCN2"
"311","PAXBP1"
"312","RPS5"
"313","CBX3"
"314","AHNAK"
"315","ERLIN2"
"316","CSNK1A1"
"317","ABCC1"
"318","ECI2"
"319","MCTP1"
"320","DHRS3"
"321","ALCAM"
"322","E2F6"
"323","VPS45"
"324","HSPA14"
"325","ME1"
"326","WIPF2"
"327","SYNJ2"
"328","UAP1"
"329","CAPN15"
"330","CDC25B"
"331","AP1B1"
"332","KHNYN"
"333","CHRAC1"
"334","KIAA0100"
"335","RAD1"
"336","CCNL1"
"337","ZNF207"
"338","CAMLG"
"339","ZNF160"
"340","DENR"
"341","DDX52"
"342","PLA2G12A"
"343","SLC9A6"
"344","ACBD6"
"345","HMBOX1"
"346","NUP188"
"347","TAF9B"
"348","ZCCHC8"
"349","TGFBR1"
"350","POLD1"
"351","SHC1"
"352","SMG5"
"353","WDR55"
"354","CCNB2"
"355","MAT2B"
"356","CDC42EP4"
"357","GSS"
"358","GPHN"
"359","STIP1"
"360","C16orf72"
"361","TUBA1C"
"362","PLEKHA1"
"363","ASPH"
"364","SLC35G1"
"365","MYO5A"
"366","MAFK"
"367","OSBPL8"
"368","MTUS1"
"369","AGFG2"
"370","PCOLCE2"
"371","CD2AP"
"372","MRPS27"
"373","REEP4"
"374","DLC1"
"375","NSD1"
"376","MIR214"
"377","SPRED1"
"378","NME2"
"379","SQSTM1"
"380","EEFSEC"
"381","GYG1"
"382","MAP2K1"
"383","RCN1"
"384","RNF213"
"385","PLEKHA5"
"386","ATP5G2"
"387","ESRP1"
"388","RPL3"
"389","MTA2"
"390","SIGIRR"
"391","DHODH"
"392","ASIP"
"393","FLYWCH1"
"394","LITAF"
"395","FUNDC1"
"396","MICAL2"
"397","FXN"
"398","CXCL1"
"399","ETV5"
"400","GTF2A1"
"401","MFSD6"
"402","NUCB2"
"403","UBR5"
"404","KIAA0586"
"405","NCOA5"
"406","OSTM1"
"407","BTN2A2"
"408","TESK1"
"409","HOXC4"
"410","BAG5"
"411","RNF4"
"412","GBAS"
"413","STK17A"
"414","C8orf76"
"415","EIF4G1"
"416","CKAP4"
"417","SETD1B"
"418","OXSR1"
"419","GLG1"
"420","WSB1"
"421","CTNNB1"
"422","MCL1"
"423","TOP2A"
"424","OSBPL9"
"425","PKMYT1"
"426","ARL15"
"427","ABCF2"
"428","TIMM13"
"429","RBM42"
"430","EXOC3"
"431","PPCS"
"432","PRPF40B"
"433","CDKAL1"
"434","TNRC6A"
"435","MRPL41"
"436","LEMD3"
"437","MRPS33"
"438","CPEB2"
"439","WBSCR16"
"440","PRKCDBP"
"441","GGA3"
"442","MMAB"
"443","HRAS"
"444","EMP2"
"445","BAHD1"
"446","SH3TC2"
"447","SLC6A6"
"448","CTDSP2"
"449","SOX4"
"450","EIF4EBP1"
"451","RAPH1"
"453","RABL2B"
"454","FBXL18"
"455","ABHD16A"
"456","SUPT20H"
"457","CLNS1A"
"458","DNMT1"
"459","GLA"
"460","CRBN"
"461","TSR1"
"462","STAT1"
"463","PTK2"
"464","HIST1H2BK"
"465","NDRG1"
"466","MCAT"
"467","SLC16A4"
"468","LUZP1"
"470","SNRPD2"
"471","NTPCR"
"472","GNAI3"
"473","KRIT1"
"474","WDR82"
"475","MMP3"
"476","STRAP"
"477","DYNLT1"
"478","NHP2L1"
"479","ATG16L1"
"480","DCK"
"481","ATG4B"
"482","HNRNPR"
"483","UNC119B"
"484","MIR29A"
"485","FNDC3B"
"486","CCNT1"
"487","AAR2"
"488","TAPT1"
"489","CLUAP1"
"490","ZNF791"
"491","FAM168B"
"492","CUL1"
"493","PTRF"
"494","USO1"
"495","AARS2"
"496","EXOC2"
"497","DFFA"
"498","TGIF1"
"499","C1orf27"
"500","MIER3"
"501","FNTB"
"502","GSK3B"
"503","CBR1"
"504","ZNF28"
"505","C9orf3"
"506","CHD9"
"507","PGRMC1"
"508","RMDN3"
"509","SUCLG2"
"510","TBP"
"511","COL4A3BP"
"512","PPP4R2"
"513","APPBP2"
"514","FBXL5"
"515","SLC25A25"
"516","TSC22D1"
"517","PLIN3"
"518","IGFBP3"
"519","RTF1"
"520","PDLIM1"
"521","CPT1A"
"522","ESF1"
"523","SEC16A"
"524","PNPT1"
"525","RAVER1"
"526","TXNIP"
"527","HPN"
"528","SLC7A6"
"529","SFMBT1"
"530","TUSC2"
"531","STX1A"
"532","RBM10"
"533","FGF2"
"534","NUP50"
"535","PIGN"
"536","WHSC1"
"537","MTHFD2"
"538","SPTBN1"
"539","C9orf78"
"540","DAAM1"
"541","TBC1D25"
"542","EDF1"
"543","ZNF106"
"544","DDX6"
"545","MBNL1"
"546","C7orf55-LUC7L2"
"547","GOLGA1"
"548","POT1"
"549","BAD"
"550","GPKOW"
"551","FYTTD1"
"552","DAGLB"
"553","EXOSC1"
"554","SFPQ"
"555","SPATA2"
"556","LIG3"
"557","GM2A"
"558","TRIM2"
"559","CREB1"
"560","SLC25A36"
"561","PHRF1"
"562","TRIP13"
"563","PLEKHA8"
"564","LOXL4"
"565","MNT"
"566","IRAK1"
"567","WT1"
"568","MAP2K2"
"570","TIMM50"
"571","GAR1"
"572","PSMB5"
"573","ZNF131"
"574","PTPRK"
"575","TSG101"
"576","SESN2"
"577","STAT3"
"578","FAM213A"
"579","NOL10"
"580","HIP1R"
"581","MED12"
"582","PEA15"
"583","TMEM14A"
"584","SF3A1"
"585","NFKBIA"
"586","ENOPH1"
"587","FLCN"
"588","ZNF12"
"589","CBX4"
"590","SMC3"
"591","NHP2"
"592","RPS28"
"593","SNAI1"
"594","IPO5"
"595","BIRC5"
"596","SLFN5"
"597","IFFO2"
"598","IGF1"
"599","IFI44"
"600","RBM33"
"601","DDRGK1"
"602","TPCN2"
"603","WDR19"
"604","ZFYVE27"
"605","CHMP2B"
"606","TPRN"
"607","MKL1"
"608","AGO1"
"609","BCL3"
"610","YARS"
"611","TPD52"
"612","RNU4-2"
"613","SUMO1"
"614","NIPA2"
"615","SMU1"
"616","DERA"
"617","UGT8"
"618","MBTPS2"
"619","CORO1B"
"620","SC5D"
"621","PEX19"
"622","SLC19A1"
"623","TWSG1"
"624","GPR180"
"625","TRIM21"
"626","NAA40"
"627","KIAA0391"
"628","HIST1H2AC"
