"Cluster","Mutation_Level","Copy_Number_Alteration","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1_8.AMP","1_8","AMP","BP","GO:0097193","intrinsic apoptotic signaling pathway","20/146","277/17913",1.09598986098639e-13,3.80637278720574e-10,2.479244432905e-10,"ARL6IP5/BAD/BAK1/BCL2/BCL2L1/CAV1/CEBPB/DIABLO/HINT1/HMOX1/HSPA1A/HSPB1/HTRA2/ING2/PARK7/PYCARD/RPS3/SNAI2/SOD2/TNF",20
"1_8.AMP","1_8","AMP","BP","GO:0000302","response to reactive oxygen species","16/146","230/17913",6.41647400017376e-11,1.11422071013017e-07,7.25736980335442e-08,"BAD/BAK1/BCL2/CDK2/EGLN1/HMOX1/HNRNPD/IL10/JUN/NQO1/PARK7/PCNA/RHOB/RPS3/SOD2/TNF",16
"1_8.AMP","1_8","AMP","BP","GO:0034599","cellular response to oxidative stress","17/146","296/17913",3.15540359851815e-10,3.65290556588451e-07,2.37928502919842e-07,"ARL6IP5/BCL2/CDK2/HMOX1/HNRNPD/HSPA1A/HSPB1/HTRA2/IL10/JUN/NQO1/PARK7/PCNA/RHOB/RPS3/SOD2/TNF",17
"1_8.AMP","1_8","AMP","BP","GO:0006979","response to oxidative stress","20/146","442/17913",5.32265196131319e-10,3.8455569894795e-07,2.50476668749646e-07,"ARL6IP5/BAD/BAK1/BCL2/CDK2/EGLN1/HMOX1/HNRNPD/HSPA1A/HSPB1/HTRA2/IL10/JUN/NQO1/PARK7/PCNA/RHOB/RPS3/SOD2/TNF",20
"1_8.AMP","1_8","AMP","BP","GO:0042110","T cell activation","20/146","443/17913",5.53636191978045e-10,3.8455569894795e-07,2.50476668749646e-07,"ATG5/BAD/BCL2/CAV1/CCND3/CD151/CDC42/CDK6/CEBPB/FADD/FLOT2/HLA-DPB1/HMGB1/IL10/LGALS1/PYCARD/RPS3/RPS6/SOX4/TWSG1",20
"1_8.AMP","1_8","AMP","BP","GO:2001242","regulation of intrinsic apoptotic signaling pathway","13/146","163/17913",8.08440258020178e-10,4.6795216935068e-07,3.04796160436029e-07,"BAD/BCL2/BCL2L1/CAV1/HSPA1A/HSPB1/HTRA2/ING2/PARK7/PYCARD/RPS3/SNAI2/SOD2",13
"1_8.AMP","1_8","AMP","BP","GO:0007568","aging","17/146","318/17913",9.48100685746234e-10,4.70393383085239e-07,3.06386221604309e-07,"BAK1/BCL2/BCL2A1/CDK6/HMGA2/HTRA2/IL10/ING2/JUN/JUND/NAMPT/NDUFS6/NQO1/SOD2/TERF2/TWIST1/TYMS",17
"1_8.AMP","1_8","AMP","BP","GO:0046677","response to antibiotic","17/146","328/17913",1.51837769067762e-09,6.5916571496542e-07,4.29341270692921e-07,"BAD/BAK1/BCL2/BCL2L1/CDKN1B/EIF4EBP1/HMOX1/HNRNPD/ID1/IL10/JUN/NQO1/PARK7/PCNA/RHOB/RPS3/TYMS",17
"1_8.AMP","1_8","AMP","BP","GO:0097191","extrinsic apoptotic signaling pathway","14/146","213/17913",2.23142682922259e-09,8.61082819765563e-07,5.60858041637351e-07,"ATF3/BAD/BCL2/BCL2L1/CAV1/DIABLO/FADD/HMOX1/HSPA1A/HTRA2/PARK7/PYCARD/SNAI2/TNF",14
"1_8.AMP","1_8","AMP","BP","GO:0070997","neuron death","17/146","347/17913",3.5516225041205e-09,1.07961205517506e-06,7.03194964635823e-07,"BAD/BCL2/BCL2L1/CEBPB/EGLN1/FADD/HMOX1/HTRA2/IL10/JUN/NAMPT/NQO1/NQO2/PARK7/SET/SOD2/TNF",17
