"Cluster","Mutation_Level","Copy_Number_Alteration","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1_8.AMP","1_8","AMP","hsa04210","Apoptosis","13/97","136/7925",8.57783715322371e-09,1.86463954987131e-06,1.16511964183259e-06,"572/578/596/597/598/332/56616/8772/1647/27429/3725/9020/7124",13
"1_8.AMP","1_8","AMP","hsa05169","Epstein-Barr virus infection","15/97","201/7925",1.70286716883225e-08,1.86463954987131e-06,1.16511964183259e-06,"578/596/896/1017/1021/1027/8772/1647/3107/3115/9636/3725/9020/6892/7124",15
"1_8.AMP","1_8","AMP","hsa04215","Apoptosis - multiple species","7/97","32/7925",8.66960408190333e-08,6.32881097978943e-06,3.95455624788573e-06,"578/596/598/332/56616/8772/27429",7
"1_8.AMP","1_8","AMP","hsa05162","Measles","11/97","138/7925",8.30068425389836e-07,4.54462462900935e-05,2.83970777107049e-05,"572/578/596/598/896/1017/1021/1027/8772/3303/3725",11
"1_8.AMP","1_8","AMP","hsa04115","p53 signaling pathway","8/97","72/7925",2.36629815265583e-06,0.000103643859086325,6.4761844177949e-05,"596/598/896/3732/1017/1021/1647/9540",8
"1_8.AMP","1_8","AMP","hsa05170","Human immunodeficiency virus 1 infection","12/97","212/7925",9.48316688756416e-06,0.000330721027023874,0.000206650966176898,"572/578/596/598/684/805/8772/54331/3107/3725/6892/7124",12
"1_8.AMP","1_8","AMP","hsa05152","Tuberculosis","11/97","179/7925",1.05709917313567e-05,0.000330721027023874,0.000206650966176898,"572/596/805/1051/8772/3115/3586/5868/5869/7879/7124",11
"1_8.AMP","1_8","AMP","hsa01524","Platinum drug resistance","7/97","73/7925",2.78860355242527e-05,0.000763380222476418,0.000476997976072744,"572/578/596/598/332/8772/2946",7
"1_8.AMP","1_8","AMP","hsa04621","NOD-like receptor signaling pathway","10/97","181/7925",6.78654166539978e-05,0.00165139180524728,0.00103187183216605,"9140/9474/596/598/2919/8772/3725/10135/29108/7124",10
"1_8.AMP","1_8","AMP","hsa05222","Small cell lung cancer","7/97","92/7925",0.000124109484288433,0.00271799770591668,0.0016983403113154,"578/596/598/1017/1021/1027/1647",7
"1_8.AMP","1_8","AMP","hsa04657","IL-17 signaling pathway","7/97","94/7925",0.000142155313885797,0.00283018306736268,0.00176843931149795,"1051/2919/8772/3725/3727/6426/7124",7
