"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:2001233","regulation of apoptotic signaling pathway","121/992","397/17913",2.7886979928555e-57,1.61744483585619e-53,6.02065219299646e-54,"ACVR1/AKT1/APAF1/ATF3/BAD/BAK1/BAX/BBC3/BCAP31/BCL10/BCL2/BCL2L1/BCL2L11/BECN1/BID/BIRC6/BNIP3/BRCA1/CASP2/CASP8/CAV1/CD44/CDKN2D/CFLAR/CLU/CSNK2A1/CTNNB1/CTTN/CYLD/DAB2IP/DDX3X/DEPTOR/DNM1L/E2F1/ENO1/FADD/FAS/FASLG/FBXW7/FGFR1/FYN/GSK3A/GSK3B/GSTP1/GZMB/HDAC1/HGF/HIF1A/HMOX1/HNRNPK/HSPA1A/HSPA1B/HSPB1/HTRA2/ICAM1/IGF1/IL1A/IL1B/ING2/ITGAV/JAK2/MAGEA3/MAPK8/MAPK9/MCL1/MDM2/MIF/MIR21/MIR221/MIR222/MNT/NF1/NONO/NRP1/PAK2/PARK7/PARP1/PDIA3/PHIP/PLAUR/PMAIP1/PPP2R1A/PRKCD/PTEN/PTGS2/PYCARD/RAF1/RB1/RELA/RIPK3/RPS3/RRM2B/SFPQ/SFRP1/SFRP2/SGK3/SIRT1/SKIL/SLC9A3R1/SMAD3/SNAI1/SNAI2/SOD2/SRC/STK4/STRADB/TCF7L2/TGFBR1/THBS1/TIMP3/TNF/TNFRSF10B/TNFRSF12A/TNFSF10/TP53/TPT1/TRAF2/VDAC2/XBP1/YAP1/YBX3",121
"BP","GO:0097191","extrinsic apoptotic signaling pathway","88/992","213/17913",2.74612976800461e-54,7.96377632721337e-51,2.96437481798813e-51,"ACVR1/ACVR1B/AKT1/ATF3/BAD/BAX/BCL10/BCL2/BCL2L1/BCL2L11/BID/BIRC6/BRCA1/CASP3/CASP8/CASP9/CAV1/CFLAR/CTTN/CYLD/DAB2IP/DAXX/DDX3X/DEPTOR/DIABLO/ERBB3/FADD/FAS/FASLG/FGFR1/FGFR3/FOXO3/FYN/GSK3A/GSK3B/GSTP1/HGF/HMOX1/HSPA1A/HSPA1B/HTRA2/ICAM1/IGF1/IL1A/IL1B/IL6R/ITGAV/JAK2/KITLG/MCL1/MIR221/MIR222/NF1/NRP1/P2RX7/PAK2/PARK7/PDIA3/PDPK1/PHIP/PMAIP1/PPP2R1A/PTEN/PYCARD/RAF1/RELA/SFRP1/SFRP2/SGK3/SKIL/SMAD3/SNAI2/SRC/STK4/STRADB/TCF7L2/TGFB1/TGFBR1/THBS1/TIMP3/TNF/TNFRSF10B/TNFRSF12A/TNFRSF1A/TNFRSF1B/TNFSF10/TRAF2/YAP1",88
"BP","GO:0006979","response to oxidative stress","123/992","442/17913",2.39960833710681e-53,4.63924278507316e-50,1.72687603487932e-50,"ABL1/ADA/ADAM9/AIFM1/AKT1/APEX1/APOE/APP/ARL6IP5/ARNT/ATF4/AXL/BAD/BAK1/BCL2/BECN1/BNIP3/CASP3/CAT/CCS/CDK1/CDK2/CFLAR/CRK/CTNNB1/DHCR24/EEF2/EGFR/EGLN1/EPAS1/ERCC1/ERCC2/ETS1/ETV5/EZH2/FANCD2/FBXW7/FOS/FOSL1/FOXO3/FUT8/FYN/G6PD/GSTP1/HDAC2/HDAC6/HGF/HIF1A/HMOX1/HNRNPD/HSF1/HSPA1A/HSPA1B/HSPB1/HTRA2/IL10/IL6/JAK2/JUN/KDM6B/MAPK1/MAPK3/MAPK8/MAPK9/MCL1/MDM2/MET/MGMT/MIR155/MIR21/MIR34A/MIRLET7B/MMP14/MMP2/MMP3/MYB/NME2/NONO/NQO1/OGG1/OXSR1/PARK7/PARP1/PAWR/PCNA/PDGFRA/PDK1/PNPT1/PRKAA1/PRKCD/PRKD1/PRNP/PSIP1/PTGS2/PTPRK/PXN/RELA/REST/RHOB/RIPK3/RPS3/RRM2B/SDC1/SESN2/SFPQ/SIRT1/SIRT2/SOD2/SP1/SRC/STAT1/STAT6/TNF/TP53/TPM1/TRAF2/TREX1/TSC1/TXN/TXNIP/TXNRD1/XPA/XRCC1",123
"BP","GO:0034599","cellular response to oxidative stress","97/992","296/17913",4.85674832701567e-49,7.04228507417273e-46,2.62136600492346e-46,"ABL1/AIFM1/AKT1/APEX1/ARL6IP5/ARNT/ATF4/AXL/BCL2/BECN1/BNIP3/CAT/CCS/CDK1/CDK2/CFLAR/CRK/CTNNB1/EGFR/EPAS1/ETS1/ETV5/EZH2/FANCD2/FBXW7/FOS/FOXO3/FUT8/FYN/G6PD/GSTP1/HDAC2/HDAC6/HGF/HIF1A/HMOX1/HNRNPD/HSF1/HSPA1A/HSPA1B/HSPB1/HTRA2/IL10/IL6/JAK2/JUN/KDM6B/MAPK1/MAPK3/MAPK8/MAPK9/MCL1/MDM2/MET/MGMT/MIR155/MIR21/MIR34A/MIRLET7B/MMP2/MMP3/MYB/NME2/NONO/NQO1/PARK7/PARP1/PAWR/PCNA/PDGFRA/PDK1/PNPT1/PRKAA1/PRKCD/PRKD1/PTPRK/PXN/RELA/REST/RHOB/RIPK3/RPS3/SESN2/SFPQ/SIRT1/SIRT2/SOD2/SRC/STAT6/TNF/TP53/TPM1/TRAF2/TREX1/TSC1/TXN/TXNRD1",97
"BP","GO:0048732","gland development","115/992","422/17913",8.20478978766067e-49,9.51755615368637e-46,3.54274186410358e-46,"ABL1/ADA/AKT1/AKT2/ALDH1A3/APRT/ARF6/ATM/AURKA/BAX/BCL2/BCL2L11/BTRC/CAPN1/CAV1/CCND1/CDH1/CDKN1B/CDKN1C/CEBPB/CFLAR/CREB1/CTNNB1/CUL3/DDR1/DHODH/DKK3/EGF/EGFR/EPHA2/ESR1/ETS1/ETV5/EZH2/FADD/FASN/FBXW7/FGFR1/FKBP4/FRS2/HES1/HGF/HIF1A/HK2/HMOX1/HNF4A/HNRNPD/ID4/IGF2R/IL10/JAK2/JUN/KRAS/MAD1L1/MAP2K1/MAPK1/MAPK3/MED1/MGMT/MPST/MSN/NCOA1/NF1/NME1/NRG1/NRP1/PCNA/PDGFRA/PIK3CA/PLXND1/PNPT1/POU3F2/PRMT5/PTEN/RAF1/RAP1A/RARA/RELA/RIPK3/ROBO1/RREB1/RXRA/SFRP1/SLC9A3R1/SMAD2/SMAD3/SMAD4/SNAI2/SOCS2/SOX10/SOX2/SRC/SRF/STAT5A/STAT5B/STAT6/STK11/TBX2/TBX3/TGFB1/TGFB3/TGFBR1/TGFBR2/TGM2/TNC/TNF/TWSG1/TYMS/TYR/VDR/VEGFA/VTN/WLS/WT1/XBP1",115
"BP","GO:0097193","intrinsic apoptotic signaling pathway","92/992","277/17913",4.35092991172293e-47,4.2058989146655e-44,1.56557144718311e-44,"ABL1/AIFM1/AKT1/APAF1/ARL6IP5/ATF4/BAD/BAK1/BAX/BBC3/BCAP31/BCL2/BCL2L1/BCL2L11/BCL3/BECN1/BID/BNIP3/BRCA1/CASP2/CASP3/CASP9/CAV1/CD44/CDKN1A/CDKN2D/CEBPB/CHEK2/CLU/CUL1/CUL3/CYLD/DAB2IP/DDX3X/DIABLO/DNM1L/E2F1/ENO1/EP300/EPHA2/FBXW7/HDAC1/HIF1A/HINT1/HMOX1/HNRNPK/HRAS/HSPA1A/HSPB1/HTRA2/ING2/JAK2/MAGEA3/MCL1/MDM2/MIF/MIR21/MLH1/MSH6/NONO/PARK7/PARP1/PDK1/PLAUR/PMAIP1/PRKCD/PTGS2/PYCARD/RIPK3/RPS3/RRM2B/SFPQ/SFRP2/SIRT1/SKIL/SLC9A3R1/SNAI1/SNAI2/SOD2/SRC/STK11/TNF/TNFRSF10B/TNFRSF1A/TNFRSF1B/TP53/TPT1/TRAF2/VDAC2/XBP1/XPA/YBX3",92
"BP","GO:0071900","regulation of protein serine/threonine kinase activity","120/992","479/17913",9.90669689886523e-47,8.2084060019169e-44,3.05543388565001e-44,"ABL1/ACTB/ADAM17/ADAM9/AKT1/APC/APOE/ARRB1/ATP2B4/BIRC7/BLM/CAB39/CALM1/CALM2/CALM3/CASP3/CAV1/CCNB1/CCNC/CCND1/CCND3/CD81/CDC25C/CDK1/CDK4/CDKN1A/CDKN1B/CDKN1C/CDKN2A/CDKN2B/CDKN2C/CDKN2D/CDKN3/CKS1B/CRK/DAB2IP/DAXX/DBF4/DDX3X/DKK1/DUSP14/DUSP6/EGF/EGFR/ERBB2/EZH2/F2R/FGF2/FGFR1/FRS2/GADD45A/GDF15/GSTP1/HEXIM1/HGF/HMGA2/HRAS/HSPB1/IGF1/IGF1R/IL1B/ILK/JAK2/KIDINS220/KIT/KITLG/KRAS/MAP2K1/MAP2K2/MAP2K7/MAP3K1/MAP3K10/MAP3K13/MAP3K14/MAP3K7/MAPK1/MAPK14/MAPK3/MEN1/MIF/NF1/NRG1/P2RX7/PAK1/PAQR3/PKMYT1/PKN1/PLK1/PPP2R1A/PRKAA1/PRKAR1A/PRKCD/PTEN/PTPN11/PYCARD/RAF1/RB1/RHOA/ROBO1/RPS3/SESN2/SFRP1/SFRP2/SHC1/SIRT1/SPRY2/SRC/STK38/STK4/TGFA/TGFB1/TGFB3/TGFBR1/THBS1/TIAM1/TNF/TRAF2/VEGFA/WNK1/ZEB2",120
"BP","GO:0007568","aging","97/992","318/17913",6.5642002176083e-46,4.75904515776602e-43,1.77147034819929e-43,"ABL1/ADA/AKT1/AKT3/AMFR/APAF1/APEX1/APP/ATM/ATR/AURKB/BAK1/BCL2/BCL2A1/BCL6/BECN1/CALR/CANX/CARM1/CASP2/CASP9/CAT/CD68/CDK1/CDK6/CDKN1A/CDKN1C/CDKN2A/CDKN2B/CHEK1/CHEK2/COL4A2/CREB1/CCN2/DKK1/DNMT3A/EDNRB/EEF2/ENG/ERCC1/ERCC2/FOS/FOXM1/FOXO3/HMGA2/HRAS/HTRA2/ICAM1/IL10/ILK/ING2/JUN/JUND/KRAS/LRP1/MAGEA2/MAGEA2B/MAP2K1/MAPK1/MAPK14/MAPK3/MIF/MIR146A/MIR21/MIR34A/MNT/MSH2/MSH6/MTOR/NAMPT/NDUFS6/NQO1/OGG1/PAWR/PNPT1/PRKCD/PRNP/PTEN/PTGS2/RELA/SIRT1/SOD2/SRF/STAT3/TBX2/TBX3/TERF2/TGFB1/TGFB3/TGFBR2/TIMP1/TIMP2/TNFRSF1B/TP53/TREX1/TWIST1/TYMS",97
"BP","GO:0070997","neuron death","99/992","347/17913",5.91399027493042e-44,3.81123817717738e-41,1.4186659712143e-41,"ABL1/AIFM1/AIMP2/AKT1/AKT1S1/AKT2/APAF1/APOE/APP/ARRB1/ATF2/ATF4/ATM/ATN1/AXL/BAD/BAX/BCL2/BCL2L1/BCL2L11/BID/BNIP3/CASP2/CASP3/CASP8/CASP9/CD200/CEBPB/CHL1/CLU/CREB1/CTNNB1/DAXX/DHCR24/DKK1/EGLN1/EGR1/ERBB3/F2R/FADD/FASLG/FBXW7/FOS/FOXO3/FYN/G6PD/GAPDH/GSK3B/HIF1A/HMOX1/HRAS/HSF1/HSPA5/HTRA2/IL10/ILK/JAK2/JUN/KRAS/LRP1/MAP2K4/MCL1/MSH2/MTOR/MYB/NAMPT/NES/NF1/NGFR/NONO/NQO1/NQO2/NRP1/PARK7/PARP1/PDPK1/PIK3CA/PPARA/PRKCI/PRNP/RASA1/RB1/REST/RHOA/ROCK1/SET/SIRT1/SLC9A1/SOD2/STAT3/TBK1/TFAP2A/TGFB3/TNF/TNFRSF1B/TP53/TRAF2/TSC1/TYRO3",99
"BP","GO:0035690","cellular response to drug","101/992","362/17913",7.17737847190622e-44,4.16287951370561e-41,1.54955823640839e-41,"ABL1/ACTB/AHR/AIFM1/APEX1/ATF4/ATP2B4/ATRX/AXL/BAD/BECN1/BLM/BNIP3/BRCA1/CASP9/CDH1/CDK1/CDK2/CDK4/CFLAR/CHEK2/CRK/CTNNB1/DAXX/DNMT3A/EGFR/EGR1/EIF4E/EIF4EBP1/ERRFI1/ETS1/EZH2/FOXO3/FYN/GABPA/GNAQ/GSTM2/HDAC2/HDAC6/HGF/HMGA2/HMOX1/HNRNPD/HSF1/HSP90B1/HSPA5/ICAM1/ID1/IL10/IL1B/IL6/KDM6B/KMT2A/MAPK1/MAPK3/MDM2/MET/MIR155/MIR21/MIR34A/MIRLET7B/MMP3/MYB/MYC/NCOA1/NFKB1/NME1/NQO1/P2RX7/PARK7/PAWR/PCNA/PRKAA1/PRKCD/PRKCE/PRNP/PTEN/PTGS2/RAD51/RAP1A/RAP1B/RELA/REST/RHOB/RIPK3/ROCK2/RPS3/SFRP1/SIRT1/SOX10/SRC/STAT6/TAF1/TFRC/TGFB1/TNF/TP53/TRAF2/TREX1/TXN/VIM",101
