id	A375R_RPL10a_vivo__Ronly_vehicle_rep1	A375R_RPL10a_vivo__Ronly_vehicle_rep2	A375R_RPL10a_vivo__Ronly_vehicle_rep3	A375R_RPL10a_vivo__SR_vehicle_rep1	A375R_RPL10a_vivo__SR_vehicle_rep2	A375R_RPL10a_vivo__SR_vehicle_rep3	A375R_RPL10a_vivo__Ronly_vem10d_rep1	A375R_RPL10a_vivo__Ronly_vem10d_rep2	A375R_RPL10a_vivo__Ronly_vem10d_rep3	A375R_RPL10a_vivo__SR_vem10d_rep1	A375R_RPL10a_vivo__SR_vem10d_rep2	A375R_RPL10a_vivo__SR_vem10d_rep3
1	1/2-SBSRNA4	16.78174781	21.34873587	28.59745106	19.1234695	17.91705128	22.87092672	22.3922674	22.41306449	16.74000407	22.72555484	20.70946665	9.149436598
2	A1BG	479.9579874	472.1355048	443.2604915	377.9161831	431.2037007	482.0487631	407.6936961	477.211498	387.4115229	494.2808177	492.4250958	506.8787875
3	A1BG-AS1	20.13809737	9.032157483	30.98057199	37.3362976	26.27834187	18.47267158	25.48085601	23.34694217	16.74000407	22.72555484	25.31157035	15.55404222
4	A1CF	0	1.642210451	0	1.82128281	1.194470085	1.759302055	0.772147152	0	1.195714577	0	0	0
5	A2LD1	52.58280981	41.05526129	56.00334167	48.26399446	43.00092306	58.93661885	49.41741771	51.36327278	43.04572476	34.89995922	49.47261477	44.83223933
6	A2M	4.47513275	3.284420903	7.149362766	122.9365897	77.64055553	58.93661885	1.544294303	1.867755374	9.565716614	28.40694355	20.70946665	14.63909856
7	A2ML1	0	0.821105226	0	0	0	0	0	0	0	0	0	0
8	A2MP1	0	0	0	0	0	0	0	0	0	0	0	0
9	A4GALT	238.3008189	193.7808333	237.1205317	271.3711387	252.0331879	315.7947189	176.8216977	196.1143143	217.620053	218.3276518	201.3420369	288.2072528
10	A4GNT	11.18783187	4.105526129	3.574681383	2.731924215	1.194470085	2.638953083	1.544294303	1.867755374	8.370002037	1.623253917	0	0.91494366
11	AA06	0	0	0	0	0	0	0	0	0	0	0	0
12	AAA1	0	0	0	0	0	0	0	0	0	0	0	0
13	AAAS	1501.407038	1326.906045	1385.784816	1243.936159	1184.914324	1258.780621	1525.762772	1475.526745	1395.398911	1374.896068	1370.276377	1466.654687
14	AACS	1588.672126	1252.185469	1375.060772	991.68849	1178.941974	1228.872486	1136.600607	1117.851591	1006.791674	1144.394012	1377.179532	1505.997264
15	AACSP1	42.51376112	38.59194561	30.98057199	49.17463587	45.38986323	36.94534316	30.88588607	27.08245292	45.43715392	31.65345138	40.26840737	48.49201397
16	AADAC	10.06904869	20.52763064	16.68184645	15.48090388	14.33364102	21.11162466	2.316441455	9.33877687	15.5442895	21.10230092	2.30105185	10.97932392
17	AADACL2	0	0	0	0	0	0	0	0	0	0	0	0
18	AADACL3	0	0	0	0	0	0	0	0	0	0	0	0
19	AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
20	AADAT	451.9884077	452.4289794	493.3060309	511.7804696	499.2884956	539.2260799	579.1103638	494.9551741	499.8086931	577.0667675	505.080881	443.747675
