A375_vitro_vehicle_rep1	A375_vitro_vehicle_rep2	A375_vitro_vehicle_rep3	A375_vitro_vem_6h_rep1	A375_vitro_vem_6h_rep2	A375_vitro_vem_6h_rep3	A375_vitro_vem_48h_rep1	A375_vitro_vem_48h_rep2	A375_vitro_vem_48h_rep3
1/2-SBSRNA4	9.446211114402	4.33846569134578	10.3500954700495	12.7744320163457	7.59970252900051	2.28365425181561	14.0597772582024	13.4242803035694	7.72989465710847
A1BG	132.246955601628	151.846299197102	185.360800690886	124.796374313531	124.128474640342	130.16829235349	252.248944926572	309.791083928525	265.02495967229
A1BG-AS1	159.536009932123	150.761682774266	184.419882920881	143.466698029728	163.815810069567	180.408685893433	173.679601424853	238.539134624964	214.228509068435
A1CF	5.24789506355667	0	0	0	0	1.14182712590781	0	0	2.20854133060242
A2LD1	53.528529648278	75.9231495985511	62.1005728202968	48.1497822154568	88.6631961716726	63.9423190508371	80.2234349438606	71.2519493035607	94.967277215904
A2M	3294.62852090088	7394.91477089888	4580.38770438189	4465.15531402114	7736.49717452252	4134.55602291217	2844.21023476223	4617.95242442788	2821.41154984459
A2ML1	1.04957901271133	0	0	0	0.844411392111168	0	0.827045721070728	0	2.20854133060242
A2MP1	0	0	0	0	0	0	0.827045721070728	0	1.10427066530121
A4GALT	34.636107419474	104.123176592299	65.8642439003147	7.86118893313581	10.9773480974452	2.28365425181561	1.65409144214146	5.16318473214208	4.41708266120484
A4GNT	1.04957901271133	0	0	2.94794584992593	0.844411392111168	0	3.30818288428291	2.06527389285683	1.10427066530121
AA06	0	0	0	0	0	0	0	0	0
AAA1	0	0	0	0	0	0	0	0	0
AAAS	836.514473130933	701.74682557518	837.416815304002	891.262295294272	928.852531322285	799.278988135464	679.004536999068	705.291034410608	618.391572568677
AACS	663.333936033563	939.277822176361	893.871881504271	703.576409515655	924.630474361729	1125.8415461451	1059.4455686916	1162.7492016784	1242.30449846386
AACSP1	50.379792610144	26.0307941480747	27.2866153301304	70.7507003982222	32.9320442923356	44.5312579104044	33.9088745638998	21.6853758749967	28.7110372978315
AADAC	0	0	1.88183554000899	0	0	0	0	0	1.10427066530121
AADACL2	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0
AADAT	441.872764351471	238.615613024018	255.929633441223	372.423825707309	250.790183457017	280.88947297332	175.333692866994	186.907287303543	154.597893142169
AAGAB	957.216059592736	840.577727698244	1030.30495815492	879.470511894568	1050.44777178629	1179.50742106276	719.529777331533	877.741404464154	967.34110280386
AAK1	538.434033520914	524.954348652839	470.458885002248	598.433007534963	489.758607424477	613.161166612492	514.422438505993	359.357657357089	479.253468740725
AAMP	1879.796011766	1462.06293798353	1779.2755030785	1663.62410797486	1455.76523999965	1495.79353493923	997.417139611298	1222.64214457124	1106.47920663181
AANAT	2.09915802542267	2.16923284567289	3.76367108001799	1.96529723328395	0.844411392111168	4.56730850363122	2.48113716321218	1.03263694642842	0
AARS	2867.44986272736	3011.97980621681	3248.98905982553	3077.65546732267	3036.50336603176	5729.68851780537	2545.6467294557	2649.74640453532	2627.05991275158
AARS2	485.955082885347	430.592719866068	404.594641101933	452.018363655309	419.67246187925	387.079395682746	227.43757329445	266.420332178531	260.607877011086
