H3122_vitro_vehicle_rep1	H3122_vitro_vehicle_rep2	H3122_vitro_crizotinib_48h_rep1	H3122_vitro_crizotinib_48h_rep2
1/2-SBSRNA4	2.95090344268093	4.89241021316779	6.04161889809117	5.128925971336
A1BG	10.8199792898301	14.6772306395034	20.1387296603039	20.515703885344
A1BG-AS1	25.5744965032347	16.6341947247705	46.3190782186989	43.0829781592224
A1CF	0	0	0	0
A2LD1	83.6089308759597	116.439363073393	109.756076648656	106.681660203789
A2M	0	0.978482042633557	1.00693648301519	2.0515703885344
A2ML1	0	0	2.01387296603039	1.0257851942672
A2MP1	0.983634480893644	0	1.00693648301519	1.0257851942672
A4GALT	195.743261697835	189.82551627091	215.484407365252	220.543816767448
A4GNT	0.983634480893644	0	0	0
AA06	0	0	0	0
AAA1	0.983634480893644	0.978482042633557	5.03468241507597	3.0773555828016
AAAS	569.52436443742	645.798148138148	752.18155281235	663.683020690878
AACS	797.727564004745	841.494556664859	782.389647302806	734.462199095315
AACSP1	2.95090344268093	4.89241021316779	4.02774593206078	5.128925971336
AADAC	0	0	0	0
AADACL2	0	0	0	0
AADACL3	0.983634480893644	1.95696408526711	0	0
AADACL4	0	0	0	0
AADAT	54.0998964491504	47.9456200890443	111.769949614687	105.655875009522
AAGAB	1568.89699702536	1649.72072388018	1312.0382373688	1339.67546371296
AAK1	647.231488428018	552.84235408796	457.149163288898	435.95870756356
AAMP	1797.10019659269	1975.55524407715	1791.34000328403	1767.42788972239
AANAT	0	2.93544612790067	2.01387296603039	5.128925971336
AARS	2538.76059518649	2741.70668345923	1693.66716443156	1639.20474043899
AARS2	592.147957497973	577.304405153799	533.676335998053	531.35673063041
AARSD1	299.024882191668	313.114253642738	249.720247787768	259.523654149602
AASDH	193.775992736048	197.653372611979	266.838167999027	220.543816767448
AASDHPPT	922.649143078238	917.816155990277	749.160743363305	758.055258563461
AASS	90.4943722422152	104.697578561791	140.971107622127	158.996705111416
AATF	871.500150071768	1044.04033949001	668.605824722089	718.04963598704
AATK	85.576199837747	67.5152609417155	73.5063632601092	76.93388957004
AATK-AS1	0	0	2.01387296603039	2.0515703885344
