UACC62_vitro_vehicle_rep1	UACC62_vitro_vehicle_rep2	UACC62_vitro_vem_48h_rep1	UACC62_vitro_vem_48h_rep2
1/2-SBSRNA4	7.39280164056143	5.15548696454088	5.17638291749263	9.99075684494619
A1BG	297.560266032598	301.080438729187	354.064591556496	325.698673145246
A1BG-AS1	222.708149421913	249.525569083778	391.334548562443	315.7079163003
A1CF	0	0	0	1.99815136898924
A2LD1	29.5712065622457	34.0262139659698	45.5521696739352	32.9694975883224
A2M	1762.25909106883	1739.46130183609	1364.49453705106	1704.42311774782
A2ML1	0.924100205070179	0	7.24693608448969	2.99722705348386
A2MP1	0	0	0	0.999075684494619
A4GALT	7.39280164056143	9.27987653617357	0	0
A4GNT	2.77230061521054	4.1243895716327	0	0.999075684494619
AA06	0	0	0	0
AAA1	0.924100205070179	0	0	0
AAAS	667.200348060669	638.24928621016	742.293310368444	646.401967868019
AACS	842.779387024003	888.805952686847	626.342333016609	584.459275429352
AACSP1	36.039907997737	51.5548696454088	78.681020345888	48.9547085402363
AADAC	0	0	0	0
AADACL2	0	0	0	0
AADACL3	0	0	0	0
AADACL4	0	0	0	0
AADAT	95.1823211222284	74.2390122893886	62.1165950099116	63.9408438076556
AAGAB	693.075153802634	666.088915818681	958.666116319636	877.188450986276
AAK1	808.587679436407	843.437667398887	626.342333016609	928.141310895501
AAMP	2002.52514438708	1999.29784484895	1513.57436507485	1411.6939421909
AANAT	8.31690184563161	3.09329217872453	2.07055316699705	1.99815136898924
AARS	4639.90712965737	4742.0169099847	3244.55681268438	3630.64103745345
AARS2	1719.7504816356	1847.72652809145	447.239484071364	511.526750461245
AARSD1	494.393609712546	499.051138167557	316.794634550549	280.740267342988
AASDH	191.288742449527	184.566433330563	181.173402112242	160.851185203634
AASDHPPT	1579.28725046494	1505.40219364594	781.633820541388	821.240212654577
AASS	470.367004380721	453.682852879597	781.633820541388	805.255001702663
AATF	1585.75595190043	1564.1747450417	1259.93160211771	1092.98879883711
AATK	196.833343679948	168.068875044033	1281.67241037118	1153.93241559129
AATK-AS1	0	0	0	0
ABAT	124.753527684474	139.198148042604	533.167440501741	562.479610370471
ABCA1	0	1.03109739290818	0	0.999075684494619
ABCA10	15.709703486193	17.528655679439	36.2346804224484	34.9676489573117
ABCA11P	75.7762168157547	90.7365705759194	41.4110633399411	43.9593301177633
ABCA12	0.924100205070179	3.09329217872453	1.03527658349853	3.99630273797848
ABCA13	151.552433631509	167.037777651124	2.07055316699705	7.99260547595695
ABCA17P	17.5579038963334	23.715240036888	12.4233190019823	15.9852109519139
ABCA2	906.542301173846	900.148024008837	990.75969040809	1108.97400978903
ABCA3	13.8615030760527	13.4042661078063	30.0230209214573	34.9676489573117
ABCA4	3.69640082028072	2.06219478581635	2.07055316699705	0
ABCA5	503.634611763248	549.574910420057	481.403611326815	575.467594268901
ABCA6	63.7629141498424	73.2079148964804	8.28221266798821	6.99352979146234
ABCA7	187.592341629246	193.846309866737	433.780888485883	415.615484749762
ABCA8	715.253558724319	738.265733322253	697.776417278007	806.254077387158
ABCA9	24.9507055368948	25.7774348227044	67.2929779274042	55.9482383316987
ABCB1	14.7856032811229	6.18658435744905	15.5291487524779	15.9852109519139
ABCB10	551.687822426897	539.263936490976	339.570719387517	380.64783579245
ABCB11	1.84820041014036	0	0	0
ABCB4	4.62050102535089	7.21768175035723	1.03527658349853	0.999075684494619
ABCB5	22.1784049216843	35.057311358878	1269.24909136919	1373.7290661801
ABCB6	1210.57126864193	1298.15161767139	1931.82610480825	1793.34085366784
ABCB7	256.89985700951	336.137750088065	302.30076238157	259.759677968601
ABCB8	721.72226015981	697.021837605926	848.926798468792	754.302141793437
ABCB9	292.939765007247	284.582880442656	413.075356815912	404.625652220321
ABCC1	1296.51258771346	1313.61807856501	1601.57287467222	1920.22346559866
ABCC10	291.091564597106	271.17861433485	356.135144723493	426.605317279202
ABCC11	34.1917075875966	28.8707270014289	18.6349785029735	16.9842866364085
ABCC12	0	1.03109739290818	0	0
ABCC13	0	0	0	0
ABCC2	34.1917075875966	31.9640191801534	60.0460418429145	57.9463897006879
ABCC3	1.84820041014036	1.03109739290818	0	0
ABCC4	808.587679436407	827.971206505265	600.460418429145	748.30768768647
ABCC5	794.726176360354	763.01207075205	608.742631097134	722.33171988961
ABCC6	3.69640082028072	1.03109739290818	2.07055316699705	6.99352979146234
ABCC6P1	0	0	0	0
ABCC6P2	0	0	0	0
ABCC8	1.84820041014036	3.09329217872453	1.03527658349853	2.99722705348386
ABCC9	0	0	1.03527658349853	0.999075684494619
ABCD1	304.028967468089	328.920068337708	650.153694437075	679.371465456341
ABCD2	3.69640082028072	2.06219478581635	10.3527658349853	7.99260547595695
ABCD3	523.964816274791	452.651755486689	667.75339635655	669.380708611395
ABCD4	440.795797818475	495.957845988832	900.690627643718	813.24760717862
ABCE1	1858.36551239613	1775.54971058788	607.707354513635	622.424151440148
ABCF1	1441.59631990948	1357.95526646007	1336.5420692966	1342.75771996077
ABCF2	1714.20588040518	1722.96374354956	1246.47300653223	1170.91670222769
ABCF3	926.87250568539	929.018751010266	1139.83951843188	1141.94350737735
ABCG1	0	1.03109739290818	1.03527658349853	0
ABCG2	35.1158077926668	44.3371878950515	13.4585955854808	11.9889082139354
ABCG4	15.709703486193	20.6219478581635	34.1641272554514	31.9704219038278
ABCG5	2.77230061521054	3.09329217872453	0	0.999075684494619
ABCG8	0.924100205070179	0	1.03527658349853	0
ABHD1	81.3208180461757	82.487791432654	75.5751905953924	72.9325249681072
ABHD10	766.079070003178	819.722427361999	890.337861808733	787.27163938176
ABHD11	386.273885719335	348.510918802963	389.263995395446	321.702370407267
ABHD11-AS1	5.54460123042107	4.1243895716327	18.6349785029735	21.9796650588816
ABHD12	937.037607941161	980.573620655675	1119.13398676191	1047.03131735036
ABHD12B	1.84820041014036	1.03109739290818	4.14110633399411	3.99630273797848
ABHD13	268.913159675422	244.370082119237	212.231699617198	288.732872818945
