"hgnc_symbol","ensembl_gene_id","ensembl_transcript_id","A375_vitro_vehicle_rep1","A375_vitro_vehicle_rep2","A375_vitro_vehicle_rep3","A375_vitro_vem_6h_rep1","A375_vitro_vem_6h_rep2","A375_vitro_vem_6h_rep3","A375_vitro_vem_48h_rep1","A375_vitro_vem_48h_rep2","A375_vitro_vem_48h_rep3","A375_vivo_vehicle_rep1","A375_vivo_vehicle_rep2","A375_vivo_vehicle_rep3","A375_vivo_vehicle_rep4","A375_vivo_vem_rep1","A375_vivo_vem_rep2","A375_vivo_vem_rep3","A375_vivo_vem_rep4","Colo800_vitro_vehicle_rep1","Colo800_vitro_vehicle_rep2","Colo800_vitro_vem_48h_rep1","Colo800_vitro_vem_48h_rep2","H3122_vitro_vehicle_rep1","H3122_vitro_vehicle_rep2","H3122_vitro_crizotinib_48h_rep1","H3122_vitro_crizotinib_48h_rep2","UACC62_vitro_vehicle_rep1","UACC62_vitro_vehicle_rep2","UACC62_vitro_vem_48h_rep1","UACC62_vitro_vem_48h_rep2","A375R_RPL10a_vivo__Ronly_vehicle_rep1","A375R_RPL10a_vivo__Ronly_vehicle_rep2","A375R_RPL10a_vivo__Ronly_vehicle_rep3","A375R_RPL10a_vivo__SR_vehicle_rep1","A375R_RPL10a_vivo__SR_vehicle_rep2","A375R_RPL10a_vivo__SR_vehicle_rep3","A375R_RPL10a_vivo__Ronly_vem10d_rep1","A375R_RPL10a_vivo__Ronly_vem10d_rep2","A375R_RPL10a_vivo__Ronly_vem10d_rep3","A375R_RPL10a_vivo__SR_vem10d_rep1","A375R_RPL10a_vivo__SR_vem10d_rep2","A375R_RPL10a_vivo__SR_vem10d_rep3"
"1/2-SBSRNA4",NA,NA,9.446211114402,4.33846569134578,10.3500954700495,12.7744320163457,7.59970252900051,2.28365425181561,14.0597772582024,13.4242803035694,7.72989465710847,12.8278060745438,10.9609993968446,8.65177477068712,14.5550695005694,28.2597417809231,19.289783165991,16.4824329825493,18.6552374342402,3.01562098991224,5.07636789659767,5.06296226498574,12.4629151990832,2.95090344268093,4.89241021316779,6.04161889809117,5.128925971336,7.39280164056143,5.15548696454088,5.17638291749263,9.99075684494619,16.78174781,21.34873587,28.59745106,19.1234695,17.91705128,22.87092672,22.3922674,22.41306449,16.74000407,22.72555484,20.70946665,9.149436598
"A2LD1",NA,NA,53.528529648278,75.9231495985511,62.1005728202968,48.1497822154568,88.6631961716726,63.9423190508371,80.2234349438606,71.2519493035607,94.967277215904,102.622448596351,142.49299215898,112.98199994662,120.807076854726,234.152146184792,166.50128627487,183.661396091263,174.329977402727,43.2239008554088,42.6414903314204,52.6548075558517,71.9014338408647,83.6089308759597,116.439363073393,109.756076648656,106.681660203789,29.5712065622457,34.0262139659698,45.5521696739352,32.9694975883224,52.58280981,41.05526129,56.00334167,48.26399446,43.00092306,58.93661885,49.41741771,51.36327278,43.04572476,34.89995922,49.47261477,44.83223933
"AA06",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAA1",NA,NA,0,0,0,0,0,0,0,0,0,1.60347575931798,0,0,0,1.00927649217583,0,0,0,0,0,0,0,0.983634480893644,0.978482042633557,5.03468241507597,3.0773555828016,0.924100205070179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AATK-AS1",NA,NA,0,0,0,0,0,0,1.65409144214146,1.03263694642842,2.20854133060242,0,0,0,0,0,0,0,0,1.00520699663741,3.0458207379586,2.0251849059943,0.958685784544863,0,0,2.01387296603039,2.0515703885344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABP1",NA,NA,0,0,0,0,0,0,0.827045721070728,1.03263694642842,0,0,0,0,0,0,0,0,0,3.01562098991224,0,3.03777735899145,1.91737156908973,17.7054206560856,17.612676767404,79.5479821582004,88.2175267069792,2.77230061521054,5.15548696454088,0,0.999075684494619,0,0,0,0,0,0,0,0,0,0,0,0
"ACCN1",NA,NA,5.24789506355667,0,0,5.89589169985185,7.59970252900051,6.85096275544684,0.827045721070728,0,0,0,0,0,0,0,0,0.784877761073775,0,0,0,0,0,0.983634480893644,2.93544612790067,0,0,0,0,0,0,0,1.642210451,0,5.46384843,2.38894017,5.277906166,3.088588607,4.669388435,1.195714577,3.246507834,2.30105185,3.659774639
"ACCN2",NA,NA,139.594008690607,248.377160829546,207.001909400989,170.980859295704,194.214620185569,196.394265656143,290.293048095825,332.50909674995,350.053800900484,660.632012839008,649.830678527215,651.427747439971,697.187829077276,415.821914776441,425.39048139738,364.183281138232,464.451083707635,197.020571340933,196.96307438799,303.777735899145,338.416081944337,198.694165140516,221.136941635184,228.574581644449,207.208609241974,611.754335756459,610.40965660164,620.130673515617,558.483307632492,573.9357752,500.0530825,536.2022074,516.3336766,529.1502477,431.0290035,457.1111138,516.4343609,667.2087338,496.7156986,547.6503402,845.4079416
"ACCN3",NA,NA,48.2806345847213,34.7077255307662,57.3959839702743,28.4968098826173,56.5755632714483,43.3894307844966,77.7422977806484,74.349860142846,79.5074879016871,28.8625636677236,17.2244276236129,20.3571171074991,23.2881112009111,17.1577003669891,28.4270488761972,27.4707216375821,25.0880779288058,121.630046593127,124.878650256303,150.876275496575,178.315555925344,2.95090344268093,2.93544612790067,12.0832377961823,12.3094223312064,24.0266053318247,24.7463374297962,75.5751905953924,69.9352979146233,4.47513275,8.211052257,11.91560461,15.48090388,2.38894017,9.676161304,7.721471517,19.61143143,10.76143119,9.739523502,4.6021037,12.80921124
"ACCN4",NA,NA,6.297474076268,8.67693138269155,8.46825993004047,7.86118893313581,6.75529113688934,5.70913562953903,9.09750293177801,17.5548280892831,17.6683306448194,24.0521363897697,10.9609993968446,12.2142702644995,8.73304170034166,23.213359320044,13.1982726925201,10.2034108939591,13.5089650385877,43.2239008554088,48.7331318073376,44.5540679318745,38.3474313817945,0,3.91392817053423,3.02080944904558,0,12.9374028709825,20.6219478581635,28.9877443379587,26.9750434813547,3.356349562,0,2.383120922,14.57026248,8.361290595,10.55581233,1.544294303,0.933877687,0,1.623253917,0,0
