"","x"
"1","DPM1"
"2","C1orf112"
"3","GCLC"
"4","NFYA"
"5","ANKIB1"
"6","CYP51A1"
"7","KRIT1"
"8","BAD"
"9","CD99"
"10","MAD1L1"
"11","LASP1"
"12","M6PR"
"13","ALS2"
"14","CFLAR"
"15","NDUFAF7"
"16","SARM1"
"17","PLXND1"
"18","AK2"
"19","FKBP4"
"20","KDM1A"
"21","RBM6"
"22","RECQL"
"23","SLC25A13"
"24","CDC27"
"25","HCCS"
"26","DVL2"
"27","SLC25A5"
"28","DHX33"
"29","LIG3"
"30","CIAPIN1"
"31","MSL3"
"32","CREBBP"
"33","GCFC2"
"34","CROT"
"35","KMT2E"
"36","IBTK"
"37","ZNF195"
"38","MYCBP2"
"39","FBXL3"
"40","PDK2"
"41","ITGA3"
"42","ZFX"
"43","LAMP2"
"44","GDE1"
"45","MAP3K14"
"46","AP2B1"
"47","TNFRSF12A"
"48","RALA"
"49","ETV1"
"50","PHTF2"
"51","GGCT"
"52","DBF4"
"53","IFRD1"
"54","COX10"
"55","VPS41"
"56","ELAC2"
"57","PNPLA4"
"58","ADIPOR2"
"59","PAFAH1B1"
"60","KIAA0100"
"61","LUC7L"
"62","PIGQ"
"63","DNAJC11"
"64","MYLIP"
"65","PSMB1"
"66","JARID2"
"67","CDK11A"
"68","NADK"
"69","CYTH3"
"70","SYPL1"
"71","SPAG9"
"72","MPND"
"73","NFIX"
"74","RPS20"
"75","CSDE1"
"76","UBE3C"
"77","REV3L"
"78","VTA1"
"79","BAZ1B"
"80","RANBP9"
"81","SPRTN"
"82","ZNF207"
"83","NCAPD2"
"84","IDS"
"85","HFE"
"86","FYN"
"87","BTBD7"
"88","AKAP8L"
"89","UTP18"
"90","PTBP1"
"91","PIK3C2A"
"92","PLAUR"
"93","WIZ"
"94","RABGAP1"
"95","QPCTL"
"96","PPP5C"
"97","BRCA1"
"98","ERCC1"
"99","MBTPS2"
"100","EXTL3"
"101","ELOVL5"
"102","UBR7"
"103","PSMC4"
"104","MVP"
"105","PGM3"
"106","POLR3B"
"107","GPRC5A"
"108","TACC3"
"109","UFL1"
"110","POLA2"
"111","CAPN1"
"112","SLC30A9"
"113","COX15"
"114","ZMYND11"
"115","BID"
"116","MATR3"
"117","XYLT2"
"118","NUDCD3"
"119","ATP2C1"
"120","IGF1"
"121","RALBP1"
"122","RUFY3"
"123","WWTR1"
"124","CXorf56"
"125","SNAI2"
"126","HGF"
"127","ZRANB1"
"128","NCDN"
"129","RUNX3"
"130","SERPINB1"
"131","CPS1"
"132","RNF10"
"133","ZDHHC6"
"134","RNH1"
"135","NDUFS1"
"136","RB1CC1"
"137","ERP44"
"138","BIRC3"
"139","AKAP11"
"140","GLRX2"
"141","DERA"
"142","STRAP"
"143","PLEKHO1"
"144","EHD2"
"145","CCDC28A"
"146","RRAGD"
"147","HSF2"
"148","PHF20"
"149","NR1H3"
"150","NCAPH2"
"151","TOMM34"
"152","SEC63"
"153","KPNA6"
"154","VIM"
"155","FAS"
"156","CD44"
"157","MIPEP"
"158","IFNGR1"
"159","B4GALT7"
"160","TNFRSF1B"
"161","VEZT"
"162","SNX1"
"163","TBPL1"
"164","BCLAF1"
"165","SLC39A9"
"166","HMGB3"
"167","BAK1"
"168","GRN"
"169","FAM13B"
"170","ARHGAP31"
"171","CENPQ"
"172","PNPLA6"
"173","ZCCHC8"
"174","ABCF2"
"175","CHPF2"
"176","FUT8"
"177","UBA6"
"178","ATP6V0A1"
"179","PIAS1"
"180","SLC4A7"
"181","MAP2K3"
"182","GABARAPL2"
"183","FAM136A"
"184","VCL"
"185","NSMAF"
"186","TIMP2"
"187","RFC1"
"188","CUL3"
"189","NSUN2"
"190","MFAP3"
"191","MRI1"
"192","PI4K2B"
"193","BOD1L1"
"194","MAT2B"
"195","EDC4"
"196","TRIO"
"197","VCAN"
"198","CDH1"
"199","ZFYVE16"
"200","RAI14"
"201","SPDL1"
"202","PSMA4"
"203","LSG1"
"204","TNC"
"205","TDP1"
"206","AIFM2"
"207","RETSAT"
"208","CAPG"
"209","DCUN1D1"
"210","CTNNA1"
"211","HSPA5"
"212","DSG2"
"213","GPM6B"
"214","YTHDC2"
"215","CTPS2"
"216","ATP6V1H"
"217","TPR"
"218","KIAA0556"
"219","C12orf4"
"220","MAP4"
"221","USP28"
"222","NOP16"
"223","CC2D2A"
"224","RRM2B"
"225","ZNF800"
"226","MRPS10"
"227","RSF1"
"228","VPS13D"
"229","CELF2"
"230","FAM120A"
"231","KITLG"
"232","H6PD"
"233","VAMP3"
"234","RCN1"
"235","RFC2"
"236","ARID1B"
"237","CLPTM1L"
"238","PTCD2"
"239","DKK3"
"240","LIMA1"
"241","MAPK9"
"242","FAM160A2"
"243","HERPUD1"
"244","RAD51"
"245","CYBA"
"246","PLEKHA5"
"247","SIKE1"
"248","MSMO1"
"249","FOXN3"
"250","AKR7A2"
"251","AP5M1"
"252","THRAP3"
"253","PHPT1"
"254","ARID4B"
"255","HHAT"
"256","KIF1B"
"257","SYNE2"
"258","PLEKHH1"
"259","NOP58"
"260","SZRD1"
"261","CUL1"
"262","CYFIP2"
"263","TAB2"
"264","GINM1"
"265","USP36"
"266","PUM2"
"267","ZFR"
"268","TRAF1"
"269","TRAF3IP2"
"270","SOAT1"
"271","GDI2"
"272","ATG5"
"273","PITHD1"
"274","USP13"
"275","ATP11B"
"276","CDK14"
"277","SEC61A1"
"278","PPP1R12A"
"279","POLR3E"
"280","ATP2B4"
"281","ZC3H11A"
"282","RIOK2"
"283","NDC1"
"284","FLYWCH1"
"285","UNKL"
"286","CDK17"
"287","SLC2A3"
"288","CTDP1"
"289","YBX3"
"290","WNK1"
"291","CCAR1"
"292","OGFR"
"293","QSER1"
"294","ACAA1"
"295","HDAC7"
"296","LZTS1"
"297","NCKAP1"
"298","MRPS35"
"299","MON2"
"300","GPBP1"
"301","CS"
"302","MRPS24"
"303","ELMO2"
"304","VMP1"
"305","APPBP2"
"306","POLD1"
"307","EIF4B"
"308","SPHK2"
"309","RPL18"
"310","ISOC2"
"311","U2AF2"
"312","EPN1"
"313","MED29"
"314","MTMR1"
"315","GPC1"
"316","HAGH"
"317","RNF4"
"318","CASP8"
"319","LIMCH1"
"320","NGFR"
"321","TAF2"
"322","HIPK2"
"323","TNPO3"
"324","TMEM161A"
"325","CTSA"
"326","SNX24"
"327","CNN2"
"328","DDX20"
"329","BTBD1"
"330","SBNO2"
"331","TAF11"
"332","ANKS1A"
"333","AP3D1"
"334","SLC9A3R2"
"335","NTHL1"
"336","GNAI3"
"337","IPO5"
"338","WDR3"
"339","PKN2"
"340","WDR18"
"341","TRAM2"
"342","MCM10"
"343","ERBB3"
"344","SPEN"
"345","MYLK"
"346","MAP2K4"
"347","SLK"
"348","PRKCQ"
"349","ASB1"
"350","FAM107B"
"351","ME1"
"352","TBC1D1"
"353","CDK13"
"354","MTHFD2"
"355","YBX1"
"356","ELAVL1"
"357","SMARCD1"
"358","KDM4A"
"359","NFYC"
"360","ASPM"
"361","ELOVL1"
"362","ATXN3"
"363","LRRC40"
"364","THUMPD1"
"365","MSANTD3"
"366","MTFR1"
"367","FECH"
"368","MYO9A"
"369","PFKP"
"370","IDI1"
"371","SP100"
"372","KLF6"
"373","TRAM1"
"374","EVI5"
"375","PKM"
"376","DNTTIP2"
"377","TP53BP1"
"378","RHOA"
"379","DHX8"
"380","IARS2"
"381","ROCK1"
"382","CBFB"
"383","PDK3"
"384","HDAC4"
"385","RASSF1"
"386","HEATR6"
"387","PLEKHH3"
"388","MEF2A"
"389","TBC1D25"
"390","ACSL4"
"391","INPP5A"
"392","GPKOW"
"393","FTSJ1"
"394","PRR11"
"395","ATP11A"
"396","POLR1A"
"397","LAPTM4A"
"398","KIF2A"
"399","PSME4"
"400","SIRT2"
"401","NUCKS1"
"402","VPS35"
"403","BCL3"
"404","FUNDC1"
"405","NEDD4"
"406","PIGB"
"407","MAPK6"
"408","GNB5"
"409","RAB27A"
"410","LRP6"
"411","PHRF1"
"412","NUCB2"
"413","PTPN3"
"414","SLC44A1"
"415","EXOC5"
"416","FSTL3"
"417","MNT"
"418","JMJD6"
"419","NDST1"
"420","ASNS"
"421","AP3M2"
"422","PABPC1"
"423","EIF2B3"
"424","TCOF1"
"425","CDC42"
"426","OSBPL3"
"427","RAD18"
"428","ATP2B1"
"429","MAP4K4"
"430","WDR1"
"431","SNX13"
"432","LMCD1"
"433","SEL1L"
"434","TRIP13"
"435","TCF3"
"436","DAZAP1"
"437","FAM50A"
"438","FAM3A"
"439","CPSF1"
"440","CYBRD1"
"441","RDH11"
"442","ACTN1"
"443","ZFYVE26"
"444","ALDH3A2"
"445","TFRC"
"446","SREBF1"
"447","AFF4"
"448","UBE2D1"
"449","MPP5"
"450","SMC1A"
"451","HSD17B10"
"452","MARK2"
"453","P4HA2"
"454","NFATC3"
"455","TRNT1"
"456","ACADVL"
